rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,4700,조광피혁,KOSPI,478737936000,"가죽(피혁원단,제화용원단,카시트용원단),가방,신발 제조,도매",72000.0,63200.0,21.0,23.0,18.0,12,0.0,74.0,12.22222222222222,3.361344537815126,31.688120430552523,C,67040.0,68510.0,72941.56333766985,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -10}",3,152900.0,16930100.0,2026-01-20 22:31,2,,0
11,388720,유일로보틱스,KOSDAQ,1127571038000,"취출로봇, 사출장비 및 자동화시스템",96400.0,88688.0,24.0,15.0,20.0,7,7.0,73.0,8.0,70.58823529411765,37.37716223350249,B,85160.0,83942.0,96520.95343095672,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",0,23886488700.0,12697500400.0,2026-01-20 22:30,1,,0
2,199430,케이엔알시스템,KOSDAQ,377782777050,"특수목적 시험장비, 산업용로봇",34350.0,31602.0,22.0,15.0,20.0,9,7.0,73.0,8.0,17.647058823529413,21.160669739913885,B,27367.5,25958.0,32901.774763522524,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",2,3367570900.0,5938650.0,2026-01-20 22:31,2,,0
12,33100,제룡전기,KOSDAQ,658558769000,"송배전용금구류,변압기",41000.0,36150.0,24.0,25.0,18.0,6,0.0,73.0,11.829268292682926,9.243697478991596,30.80402100373317,B,37447.5,36341.0,40298.41335057817,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -10}",1,-125150750.0,693444100.0,2026-01-20 22:30,1,,0
13,90360,로보스타,KOSDAQ,863850000000,"제조용 로봇, FPD 장비, IT부품 제조장비",88600.0,81512.0,22.0,15.0,20.0,7,7.0,71.0,8.0,34.45378151260504,20.90095594178941,B,77670.0,75094.0,91846.09252704322,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",0,17120973400.0,11998100900.0,2026-01-20 22:30,1,,0
14,97520,엠씨넥스,KOSPI,547277175000,"모바일 카메라모듈,전장 카메라모듈,블랙박스,IP 카메라",31450.0,29400.0,25.0,10.0,13.0,15,8.0,71.0,6.518282988871224,72.26890756302521,46.102207581771616,-,29635.0,28007.0,32426.17075570676,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 3, ""risk_deduction"": -2}",5,3999469350.0,160686150.0,2026-01-20 22:31,1,,0
3,7690,국도화학,KOSPI,325055203200,"에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매",35100.0,31300.0,20.0,20.0,15.0,15,1.0,71.0,10.826210826210826,4.201680672268908,21.233438965394196,R,33257.5,32498.0,34912.770518991754,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 5, ""risk_deduction"": -9}",5,635111100.0,583201800.0,2026-01-20 22:31,2,,0
4,35510,신세계 I&C,KOSPI,236556828000,"IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권",16920.0,15310.0,21.0,20.0,15.0,12,3.0,71.0,9.515366430260046,5.042016806722689,31.205732747932142,R,16478.5,16625.4,17797.340432379133,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 3, ""risk_deduction"": -7}",3,1796341260.0,253057940.0,2026-01-20 22:31,2,,0
15,1720,신영증권,KOSPI,2613960000000,증권업,159000.0,146280.0,21.0,10.0,18.0,15,7.0,71.0,8.0,21.008403361344534,38.09933211811329,-,139800.0,143278.0,158330.88707060617,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",5,13722285300.0,4823319700.0,2026-01-20 22:31,1,,0
16,86790,하나금융지주,KOSPI,27916079144200,기타 금융,100300.0,91700.0,20.0,20.0,11.0,15,5.0,71.0,8.574277168494516,6.722689075630252,9.468363967217456,R,94570.0,93756.0,98870.35012065808,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -5}",5,64930153900.0,8965052800.0,2026-01-20 22:31,1,,0
17,18260,삼성에스디에스,KOSPI,13912528440000,"IT서비스, 물류BPO",179800.0,171300.0,24.0,20.0,8.0,8,10.0,70.0,4.727474972191324,10.92436974789916,34.22021144152187,R,175545.0,172962.0,183751.30280660663,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 3, ""vol_today"": 5, ""risk_safe"": 10}",3,26078583300.0,-38549371300.0,2026-01-20 22:30,1,,0
18,83650,비에이치아이,KOSDAQ,1980440000000,"보일러,열교환기등",64000.0,58880.0,23.0,15.0,20.0,4,7.0,69.0,8.0,73.10924369747899,25.063627643613376,B,55795.0,51057.0,63091.19674667484,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",0,-22149383700.0,25292875300.0,2026-01-20 22:30,1,,0
5,1940,KISCO홀딩스,KOSPI,377091708000,지주사업,26600.0,24750.0,19.0,20.0,13.0,9,8.0,69.0,6.954887218045112,11.764705882352942,24.5227336144158,R,25645.0,26042.0,27175.68098185981,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -2}",2,106306500.0,1047504600.0,2026-01-20 22:31,2,,0
6,244920,에이플러스에셋,KOSPI,248684623000,보험대리 및 중개업,11000.0,10120.0,24.0,10.0,12.0,15,7.0,68.0,8.0,100.0,30.291634720965654,-,9696.5,8682.8,11242.4545909751,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -3}",5,4416308340.0,450725050.0,2026-01-20 22:31,2,,0
7,45100,한양이엔지,KOSDAQ,427500000000,반도체배관설비,23750.0,22400.0,25.0,10.0,15.0,9,9.0,68.0,5.684210526315789,100.0,45.884092189711325,-,22945.0,21696.0,24323.8798347812,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 5, ""risk_deduction"": -1}",3,-147592800.0,537284350.0,2026-01-20 22:31,2,,0
8,3920,남양유업,KOSPI,310200000000,"시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매",51700.0,49050.0,12.0,20.0,15.0,11,9.0,67.0,5.125725338491296,0.0,20.48556875727652,R,50530.0,50697.0,53611.066197904365,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 5, ""risk_deduction"": -1}",5,320441700.0,-133181200.0,2026-01-20 22:31,2,,0
19,52690,한전기술,KOSPI,5530434000000,원자력발전소 설계 등,144700.0,133124.0,25.0,5.0,18.0,12,7.0,67.0,8.0,78.99159663865547,46.9206869414583,B,102450.0,97084.0,120049.29721960452,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",3,91600962400.0,62441698700.0,2026-01-20 22:31,1,,0
20,5850,에스엘,KOSPI,2317781148000,"자동차부품(자동차램프, 전동화부품, 전자부품) 제조, 판매",49900.0,45908.0,25.0,15.0,16.0,4,7.0,67.0,8.0,100.0,43.26414111709448,B,44862.5,41691.0,50119.95937720247,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",0,-14195236800.0,5025001250.0,2026-01-20 22:30,1,,0
21,377300,카카오페이,KOSPI,7270809070000,"간편결제, 간편송금 및 기타 금융서비스",53800.0,47200.0,20.0,23.0,18.0,6,0.0,67.0,12.267657992565056,10.084033613445378,21.26353536657739,C,49422.5,49318.0,54203.29888749011,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -10}",2,-2999395200.0,8393093600.0,2026-01-20 22:30,1,,0
9,115310,인포바인,KOSDAQ,241062666500,휴대폰인증서보관서비스(UBIKey),75500.0,69460.0,20.0,10.0,20.0,9,7.0,66.0,8.0,21.008403361344534,27.132108356403094,-,64615.0,68786.0,77358.84435446287,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",2,392098400.0,2542400.0,2026-01-20 22:31,2,,0
11,451760,컨텍,KOSDAQ,274387006040,"지상국 시스템 엔지니어링 솔루션, 위성영상 생성을 위한 데이터처리 솔루션",17990.0,16550.8,25.0,5.0,20.0,9,7.0,66.0,8.0,100.0,77.0696093634516,B,12971.0,10098.2,14852.388003772649,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",2,4539619210.0,6163600870.0,2026-01-20 22:31,2,,0
10,211270,AP위성,KOSDAQ,263186204800,위성통신 단말기,17450.0,16054.0,25.0,5.0,20.0,9,7.0,66.0,8.0,100.0,68.3804578696582,B,13995.0,12393.2,15377.93625379283,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",2,3942068320.0,1275450290.0,2026-01-20 22:31,2,,0
25,6120,SK디스커버리,KOSPI,1144906152000,"화섬사(폴리에스테르원사(폴리에스터F,폴리에스터SF),폴리에스터직물,아세테이트),석유화학부문(TPA,DMT),섬유원료,직물,BOTTLE용CHIP,접착제,폴리우레탄 제조,",62400.0,58600.0,17.0,20.0,12.0,9,8.0,66.0,6.089743589743589,5.042016806722689,14.052184457067836,R,60355.0,61152.0,65574.6616874478,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -2}",1,863751400.0,1304984900.0,2026-01-20 22:31,1,,0
26,95660,네오위즈,KOSDAQ,562813012000,"피망,스페셜포스",25750.0,24700.0,17.0,20.0,10.0,9,10.0,66.0,4.077669902912621,2.5210084033613445,19.50662563671043,R,25235.0,25240.0,26431.253765467198,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 7, ""vol_today"": 3, ""risk_safe"": 10}",2,1212509050.0,501797300.0,2026-01-20 22:30,1,,0
23,347700,스피어,KOSDAQ,921126909360,우주항공산업 관련 부품 등 판매 / 디지털헬스 소프트웨어 개발 및 공급,19740.0,18160.8,24.0,10.0,17.0,8,7.0,66.0,8.0,100.0,31.06872055109337,-,16665.0,12066.0,19625.144974057323,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_deduction"": -3}",3,16733060610.0,-3072270560.0,2026-01-20 22:30,1,,0
24,117730,티로보틱스,KOSDAQ,619945701600,"중대형 시스템, 중대형 로봇",28400.0,26128.0,25.0,5.0,20.0,9,7.0,66.0,8.0,64.70588235294117,41.18904719374451,B,20619.0,18433.4,24105.102147973783,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",1,3119715800.0,3107408550.0,2026-01-20 22:30,1,,0
22,263750,펄어비스,KOSDAQ GLOBAL,2672710768000,온라인게임 개발 서비스(검은사막),41600.0,38272.0,25.0,5.0,20.0,9,7.0,66.0,8.0,24.369747899159663,64.9447179705981,B,38362.5,37909.0,40764.249711197685,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",2,2955778150.0,611280850.0,2026-01-20 22:30,1,,0
