rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,214320,이노션,KOSPI,784000000000,광고대행 및 광고물의 제작 등,19600.0,18780.0,25.0,25.0,16.0,12,10.0,88.0,4.183673469387755,0.8403361344537815,43.18226125509103,B,18654.5,18619.0,19364.145671578302,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",breakout,Squeeze돌파,19600.0,19094.5,2.5790816326530615,oneil,오닐,19600.0,19263.0,1.719387755102041,pullback,눌림목,18654.5,17721.774999999998,5.0000000000000115,3,3259747370.0,396419980.0,2026-02-05 19:14,1,,0
2,071320,지역난방공사,KOSPI,1272503965600,"집단에너지공급 및 전기,증기 생산,판매",109900.0,101108.0,21.0,25.0,11.0,11,7.0,75.0,8.0,1.680672268907563,34.27466848650601,B,103710.0,103954.0,113946.93663628146,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,109900.0,106060.0,3.4940855323020927,pullback,눌림목,103710.0,99102.0,4.443158808215215,breakout,Squeeze돌파,113946.93663628146,108186.93663628146,5.0549845129982875,5,5669111100.0,-1560155800.0,2026-02-05 19:14,1,,0
3,192820,코스맥스,KOSPI,2233583371200,화장품,196800.0,187000.0,18.0,20.0,13.0,11,10.0,72.0,4.979674796747967,8.403361344537815,50.83607656070899,R,187860.0,175046.0,197731.7118741792,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 5, ""risk_safe"": 10}",pullback,눌림목,187860.0,178404.0,5.033535611625679,breakout,Squeeze돌파,197731.7118741792,185911.7118741792,5.977796827815516,oneil,오닐,196800.0,194230.0,1.3058943089430894,5,16890143700.0,-6091610800.0,2026-02-05 19:15,1,,0
4,009450,경동나비엔,KOSPI,875572379200,"가정용기름보일러,입형,횡형 온수보일러,가스보일러,버너,흡수식 냉온수기,전기보일러,진공온수보일러,태양열보일러 제조,판매",60100.0,55800.0,17.0,20.0,16.0,12,7.0,72.0,7.154742096505824,0.0,34.98279670456821,R,57075.0,57034.0,62387.62078694113,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,60100.0,58020.0,3.4608985024958407,pullback,눌림목,57075.0,55800.0,2.2339027595269383,breakout,Squeeze돌파,62387.62078694113,59267.62078694113,5.000992120945046,3,2297845100.0,2131652300.0,2026-02-05 19:15,1,,0
5,353200,대덕전자,KOSPI,2895831805000,"PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매",58600.0,53912.0,25.0,20.0,10.0,9,7.0,71.0,8.0,9.243697478991596,42.79596774986403,R,52327.5,49455.0,58632.8541940992,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""risk_deduction"": -3}",oneil,오닐,58600.0,56780.0,3.10580204778157,pullback,눌림목,52327.5,47686.5,8.869141464812957,breakout,Squeeze돌파,58632.8541940992,52831.6041940992,9.894196828275566,1,14997753200.0,22008453400.0,2026-02-05 19:15,1,,0
6,000120,CJ대한통운,KOSPI,2495670433600,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",109400.0,97600.0,25.0,14.0,18.0,12,1.0,70.0,10.786106032906764,18.48739495798319,43.13023228618878,A,99900.0,96994.0,103464.20963263877,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -9}",oneil,Pocket Pivot,109400.0,105045.0,3.980804387568556,breakout,Squeeze돌파,109400.0,102867.5,5.971206581352834,pullback,눌림목,99900.0,97600.0,2.3023023023023024,3,4429229900.0,8682667000.0,2026-02-05 19:15,1,,0
7,185750,종근당,KOSPI,1221546030000,"딜라트렌,리피로우",88500.0,82700.0,21.0,20.0,13.0,8,8.0,70.0,6.553672316384181,14.285714285714286,37.28766866416465,R,84715.0,85330.0,88945.46457838354,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -2}",pullback,눌림목,84715.0,82800.0,2.260520568966535,breakout,Squeeze돌파,88945.46457838354,85720.46457838354,3.625817252500779,oneil,오닐,88500.0,86400.0,2.3728813559322033,3,2956173600.0,-479942200.0,2026-02-05 19:15,1,,0
8,006280,녹십자,KOSPI,1986711460000,"알부민외 제조,판매",170000.0,145500.0,22.0,15.0,20.0,12,0.0,69.0,14.411764705882351,80.67226890756302,23.339354996738773,B,162345.0,155088.0,178933.2670581194,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -10}",pullback,눌림목,162345.0,152913.0,5.809849394807355,oneil,오닐,170000.0,165520.0,2.635294117647059,breakout,Squeeze돌파,178933.2670581194,167143.2670581194,6.58904864022322,3,4289679000.0,129850400.0,2026-02-05 19:15,1,,0
9,005180,빙그레,KOSPI,751078255800,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조",78600.0,73500.0,18.0,24.0,11.0,8,8.0,69.0,6.488549618320611,5.882352941176471,41.248514933518216,A,75815.0,75236.0,78108.85412043895,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -2}",breakout,Squeeze돌파,78600.0,75855.0,3.4923664122137406,oneil,오닐,78600.0,76770.0,2.32824427480916,pullback,눌림목,75815.0,73619.0,2.8965244344786654,3,3368081400.0,-919822700.0,2026-02-05 19:15,1,,0
10,036460,한국가스공사,KOSPI,3826373850000,"액화천연가스 공급,제조,도매,개발",41450.0,38800.0,20.0,20.0,10.0,11,8.0,69.0,6.393244873341375,10.084033613445378,46.8416191348577,R,39942.5,40456.0,43047.01544294052,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_today"": 5, ""risk_deduction"": -2}",pullback,눌림목,39942.5,37945.375,5.0,oneil,오닐,41450.0,40498.75,2.2949336550060315,breakout,Squeeze돌파,43047.01544294052,41620.14044294052,3.3146897300960267,5,28726253250.0,-5515920600.0,2026-02-05 19:15,1,,0
