rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,456040,OCI,KOSPI,669646626000,"폴리실리콘,타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",74800.0,68816.0,24.0,15.0,20.0,4,7.0,70.0,8.0,100.0,33.84796970295033,B,71005.0,64276.0,75597.5725496801,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,75597.5725496801,68975.0725496801,8.760201917393475,oneil,오닐,74800.0,72480.0,3.1016042780748663,pullback,눌림목,71005.0,65707.0,7.461446377015703,0,-2681397400.0,1509006900.0,2026-02-06 18:42,1,,0
2,214320,이노션,KOSPI,775200000000,광고대행 및 광고물의 제작 등,19380.0,18450.0,25.0,20.0,8.0,7,10.0,70.0,4.798761609907121,1.680672268907563,43.05203275687199,R,18718.5,18642.6,19398.935954131954,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""risk_safe"": 10}",breakout,Squeeze돌파,19398.935954131954,18828.935954131954,2.93830548926881,pullback,눌림목,18718.5,17782.575,4.9999999999999964,oneil,오닐,19380.0,19003.0,1.9453044375644994,0,2908815410.0,635772120.0,2026-02-06 18:42,1,,0
3,008770,호텔신라,KOSPI,1925120335050,"면세판매,관광숙박,외식사업,예식업",49050.0,44400.0,21.0,24.0,13.0,7,3.0,68.0,9.480122324159021,5.882352941176471,29.1693626594153,A,46447.5,45864.0,48355.356942916995,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -7}",oneil,Inside Day,49050.0,47623.75,2.9077471967380224,breakout,Squeeze돌파,49050.0,46910.625,4.361620795107034,pullback,눌림목,46447.5,44125.125,5.0,0,4754152200.0,16718535600.0,2026-02-06 18:42,1,,0
4,353200,대덕전자,KOSPI,2910656882500,"PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매",58900.0,54188.0,25.0,20.0,12.0,4,7.0,68.0,8.0,10.92436974789916,41.51637854474291,R,53172.5,49575.0,59112.16500790998,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -3}",oneil,Oops Reversal,58900.0,57620.0,2.173174872665535,pullback,눌림목,53172.5,48279.5,9.20212515868165,breakout,Squeeze돌파,59112.16500790998,52995.91500790998,10.34685499876644,0,-36847376000.0,24936488500.0,2026-02-06 18:42,1,,0
5,475960,토모큐브,KOSDAQ,738756724800,"홀로토모그래피 HT-X1, HT-2H",55200.0,50784.0,20.0,15.0,16.0,9,7.0,67.0,8.0,18.48739495798319,28.533070107828483,B,47490.0,49890.0,59118.458151335275,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Oops Reversal,55200.0,51905.0,5.969202898550725,pullback,눌림목,47490.0,43536.0,8.325963360707517,breakout,Squeeze돌파,59118.458151335275,54175.958151335275,8.360333057651582,2,2191324200.0,4014242400.0,2026-02-06 18:42,1,,0
6,009450,경동나비엔,KOSPI,862460646400,"가정용기름보일러,입형,횡형 온수보일러,가스보일러,버너,흡수식 냉온수기,전기보일러,진공온수보일러,태양열보일러 제조,판매",59200.0,55800.0,17.0,20.0,16.0,4,9.0,66.0,5.743243243243244,0.0,35.874631101557235,R,57175.0,57124.0,60921.341439258045,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -1}",oneil,Inside Day,59200.0,58220.0,1.6554054054054055,breakout,Squeeze돌파,60921.341439258045,57891.341439258045,4.97362652958172,pullback,눌림목,57175.0,55800.0,2.404897245299519,0,-241181300.0,1516275500.0,2026-02-06 18:42,1,,0
7,010780,아이에스동서,KOSPI,822595096000,"타일,위생도기,콘크리트파일,P.C관,침목 제조,도매",27250.0,25070.0,24.0,15.0,16.0,4,7.0,66.0,8.0,84.87394957983193,33.3090320158809,B,23442.5,22333.0,27040.660182365442,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,27250.0,25800.0,5.321100917431193,breakout,Squeeze돌파,27250.0,25075.0,7.9816513761467895,pullback,눌림목,23442.5,22750.0,2.95403647221926,0,-2882363100.0,3531564050.0,2026-02-06 18:42,1,,0
8,090430,아모레퍼시픽,KOSPI,8031055810700,"화장품,생활용품 제조, 판매",137300.0,130500.0,23.0,10.0,8.0,15,10.0,66.0,4.952658412235979,83.19327731092437,50.540377032921995,-,129510.0,125332.0,138555.37621119982,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""risk_safe"": 10}",oneil,오닐,137300.0,137160.0,0.10196649672250546,pullback,눌림목,129510.0,124266.0,4.049108176974751,breakout,Squeeze돌파,138555.37621119982,132000.37621119982,4.730960413985106,5,38998521400.0,6909767000.0,2026-02-06 18:43,1,,0
9,020150,롯데에너지머티리얼즈,KOSPI,2427139210050,"인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매",46350.0,42642.0,25.0,10.0,8.0,15,7.0,65.0,8.0,55.46218487394958,56.21551264084219,-,38557.5,36401.0,46552.2121576903,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""risk_deduction"": -3}",breakout,Squeeze돌파,46552.2121576903,41227.2121576903,11.438768971842135,oneil,오닐,46350.0,42800.0,7.659115426105717,pullback,눌림목,38557.5,34297.5,11.048434156778837,5,13952541300.0,22514572150.0,2026-02-06 18:43,1,,0
10,192080,더블유게임즈,KOSPI,1177244820800,모바일게임,55600.0,50600.0,18.0,24.0,13.0,4,5.0,64.0,8.992805755395683,1.680672268907563,29.599047843044282,A,52225.0,53198.0,55495.62910392801,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -5}",oneil,Oops Reversal,55600.0,53900.0,3.0575539568345325,breakout,Squeeze돌파,55600.0,53050.0,4.586330935251799,pullback,눌림목,52225.0,49613.75,5.0,0,-60047300.0,3438072900.0,2026-02-06 18:42,1,,0
