rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,168360,펨트론,KOSDAQ,407883521440,3D 정밀측정 검사장비,19160.0,17627.2,22.0,25.0,20.0,2,7.0,76.0,8.0,0.8403361344537815,23.745428037666887,B,17062.5,16963.4,19587.964643377305,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,19587.964643377305,17691.214643377305,9.683241901507575,oneil,오닐,19160.0,18191.0,5.05741127348643,pullback,눌림목,17062.5,15545.1,8.89318681318681,1,-2908740460.0,-171823440.0,2026-02-06 18:41,2,,0
2,043370,피에이치에이,KOSDAQ,252420000000,"자동차용 도어랫치, 도어힌지",12020.0,11550.0,25.0,10.0,12.0,15,10.0,72.0,3.9101497504159735,89.91596638655462,46.44676562189674,-,11929.0,11780.8,12639.038689705081,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_safe"": 10}",pullback,눌림목,11929.0,11332.55,5.000000000000006,oneil,오닐,12020.0,11938.0,0.6821963394342762,breakout,Squeeze돌파,12639.038689705081,11595.788689705081,8.254187882578142,5,1242008870.0,260959140.0,2026-02-06 18:41,2,,0
3,053690,한미글로벌,KOSPI,210384960000,"건축 설계,감리/건축공사,토목공사,설비공사,전기공사,안전공사",19200.0,18130.0,23.0,20.0,8.0,9,9.0,69.0,5.572916666666667,11.764705882352942,58.19199559890792,R,18812.5,18231.8,19490.214613434575,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""risk_deduction"": -1}",pullback,눌림목,18812.5,17871.875,5.0,breakout,Squeeze돌파,19490.214613434575,18169.464613434575,6.776477459050703,oneil,오닐,19200.0,19141.0,0.30729166666666663,1,1797043680.0,179574290.0,2026-02-06 18:41,2,,0
4,035600,KG이니시스,KOSDAQ,309987382500,전자지불서비스,11250.0,10420.0,25.0,10.0,12.0,15,7.0,69.0,7.377777777777777,66.38655462184875,63.22018480275752,-,10641.5,10593.6,11599.587635394691,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -3}",pullback,눌림목,10641.5,10214.9,4.008833341164313,breakout,Squeeze돌파,11599.587635394691,11066.337635394691,4.597146181066423,oneil,오닐,11250.0,10575.0,6.0,5,2814217140.0,656392440.0,2026-02-06 18:41,2,,0
5,014830,유니드,KOSPI,541408000000,"탄산칼륨,가성칼륨,가성카리,탄산카리(무기화합물),MDF(가공목재) 제조,도매",80000.0,75700.0,23.0,10.0,10.0,15,9.0,67.0,5.375,86.5546218487395,77.50955978275809,-,76095.0,70768.0,80726.39570368822,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""risk_deduction"": -1}",breakout,Squeeze돌파,80726.39570368822,75536.39570368822,6.429123900254696,pullback,눌림목,76095.0,75600.0,0.6505026611472502,oneil,오닐,80000.0,75200.0,6.0,5,3613277300.0,2610140200.0,2026-02-06 18:41,2,,0
6,112290,와이씨켐,KOSDAQ,232542535000,반도체 및 디스플레이용 화학소재,23000.0,21000.0,23.0,20.0,8.0,11,5.0,67.0,8.695652173913043,10.084033613445378,45.87474881842521,R,22066.5,21240.0,23709.526209588294,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""risk_deduction"": -5}",pullback,눌림목,22066.5,20800.0,5.739469331339361,oneil,Oops Reversal,23000.0,21620.0,6.0,breakout,Squeeze돌파,23709.526209588294,21749.026209588294,8.268828245109177,5,2901287400.0,-11501800.0,2026-02-06 18:41,2,,0
7,054210,이랜텍,KOSDAQ,261005287200,Battery Pack,10320.0,9570.0,25.0,10.0,10.0,15,7.0,67.0,7.267441860465117,42.857142857142854,75.06716224155353,-,9745.5,9314.2,10661.74243543118,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""risk_deduction"": -3}",oneil,오닐,10320.0,9700.8,6.000000000000007,pullback,눌림목,9745.5,8852.7,9.161151300600268,breakout,Squeeze돌파,10661.74243543118,9545.74243543118,10.467332209145296,5,2812693840.0,9334840.0,2026-02-06 18:42,2,,0
8,417010,나노팀,KOSDAQ,250948736320,전기차용 방열제품,12440.0,11444.800000000001,25.0,5.0,20.0,9,7.0,66.0,8.0,100.0,56.12626201575982,B,9106.0,7323.2,11369.305120322944,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Oops Reversal,12440.0,11186.5,10.07636655948553,breakout,Squeeze돌파,12440.0,10559.75,15.114549839228294,pullback,눌림목,9106.0,8120.0,10.828025477707007,1,2734928260.0,242170.0,2026-02-06 18:41,2,,0
9,003800,에이스침대,KOSDAQ,376505500000,침대,33950.0,32000.0,24.0,10.0,15.0,8,9.0,66.0,5.743740795287187,68.90756302521008,38.9263632184852,-,32702.5,31719.0,34421.93721885516,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 5, ""risk_deduction"": -1}",pullback,눌림목,32702.5,31112.5,4.862013607522361,breakout,Squeeze돌파,34421.93721885516,32434.437218855157,5.773934184364602,oneil,오닐,33950.0,31913.0,6.0,3,334833450.0,-64874800.0,2026-02-06 18:41,2,,0
10,033640,네패스,KOSDAQ,436971877900,반도체및TFT-LCD용현상액,18950.0,17434.0,23.0,10.0,13.0,12,7.0,65.0,8.0,36.134453781512605,28.14505962421311,-,16980.0,16787.0,18964.63969665532,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 5, ""risk_deduction"": -3}",oneil,Inside Day,18950.0,18142.0,4.263852242744064,breakout,Squeeze돌파,18964.63969665532,17388.88969665532,8.308884456570539,pullback,눌림목,16980.0,15719.4,7.424028268551239,3,308506050.0,579878320.0,2026-02-06 18:41,2,,0
