rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,382900,범한퓨얼셀,KOSDAQ,286046650000,"잠수함용 연료전지모듈, 건물용 연료전지 시스템, 수소충전소 구축",32650.0,28650.0,20.0,25.0,20.0,9,0.0,74.0,12.251148545176111,14.285714285714286,10.463940147290506,B,31865.0,30096.0,34253.80684463455,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -10}",pullback,눌림목,31865.0,29768.0,6.5808881217636905,oneil,오닐,32650.0,31545.0,3.3843797856049003,breakout,Squeeze돌파,34253.80684463455,31632.55684463455,7.652434113058554,1,943456700.0,8289800.0,2026-02-25 17:15,2,,0
2,033640,네패스,KOSDAQ,431898853460,반도체및TFT-LCD용현상액,18730.0,17231.600000000002,24.0,15.0,20.0,5,7.0,71.0,8.0,47.05882352941177,36.79405061056893,B,18113.5,16941.8,19289.295323879625,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",pullback,눌림목,18113.5,16735.3,7.608689651365008,breakout,Squeeze돌파,19289.295323879625,17566.545323879625,8.931119416619032,oneil,오닐,18730.0,18085.0,3.443673251468233,1,972522430.0,-344912210.0,2026-02-25 17:15,2,,0
3,083450,GST,KOSDAQ,563958000000,"GasScrubber,Chiller",30600.0,28152.0,20.0,15.0,20.0,9,7.0,71.0,8.0,52.94117647058823,15.681417988369018,B,28930.0,27711.0,31457.484605882186,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,31457.484605882186,28824.984605882186,8.368437696088876,oneil,오닐,30600.0,29415.0,3.872549019607843,pullback,눌림목,28930.0,26824.0,7.279640511579675,1,802468250.0,4557447200.0,2026-02-25 17:15,2,,0
4,014830,유니드,KOSPI,568478400000,"탄산칼륨,가성칼륨,가성카리,탄산카리(무기화합물),MDF(가공목재) 제조,도매",84000.0,79600.0,23.0,10.0,12.0,15,9.0,69.0,5.238095238095238,100.0,41.503608768251404,-,81310.0,74020.0,85738.4807529119,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -1}",pullback,눌림목,81310.0,77824.0,4.287295535604477,oneil,오닐,84000.0,81960.0,2.4285714285714284,breakout,Squeeze돌파,85738.4807529119,81380.9807529119,5.082315387133808,5,1337327400.0,1026344600.0,2026-02-25 17:15,2,,0
5,051360,토비스,KOSDAQ,242411374710,Gaming모니터,16110.0,15660.0,18.0,20.0,13.0,7,10.0,68.0,2.793296089385475,0.0,12.00220894088871,R,15907.5,15714.0,16467.91656057986,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",breakout,Squeeze돌파,16467.91656057986,15808.666560579859,4.0032386463390415,pullback,눌림목,15907.5,15660.0,1.5558698727015559,oneil,오닐,16110.0,15143.4,6.000000000000003,0,175767150.0,421268890.0,2026-02-25 17:15,2,,0
6,241770,메카로,KOSDAQ,278259072000,반도체용 전구체 및 히터블록,27300.0,25116.0,24.0,15.0,16.0,5,7.0,67.0,8.0,6.722689075630252,36.59969506814252,B,24650.0,23565.0,26455.24697637464,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,27300.0,25355.0,7.124542124542124,breakout,Squeeze돌파,27300.0,24382.5,10.686813186813186,pullback,눌림목,24650.0,22316.0,9.468559837728195,1,495221850.0,-222646100.0,2026-02-25 17:15,2,,0
7,000490,대동,KOSPI,330067604250,"경운기,트랙터,이앙기,바인더,수확기(콤바인),농업용엔진 및 부품 제조,판매",11450.0,10800.0,25.0,10.0,12.0,11,9.0,67.0,5.676855895196507,100.0,72.41434253454979,-,10948.0,10239.2,11641.028610258787,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -1}",pullback,눌림목,10948.0,10430.0,4.731457800511509,breakout,Squeeze돌파,11641.028610258787,10417.028610258787,10.514534763030618,oneil,오닐,11450.0,10763.0,6.0,5,2000506260.0,-4247730.0,2026-02-25 17:15,2,,0
8,033160,엠케이전자,KOSDAQ,232913702000,반도체용세금선,10250.0,9760.0,23.0,10.0,12.0,12,10.0,67.0,4.780487804878049,83.19327731092437,26.510219818034397,-,10171.5,9202.8,10713.18303639363,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_safe"": 10}",pullback,눌림목,10171.5,9519.9,6.4061347883792985,oneil,오닐,10250.0,10199.0,0.4975609756097561,breakout,Squeeze돌파,10713.18303639363,9898.68303639363,7.602782452545349,4,1548020570.0,9770.0,2026-02-25 17:15,2,,0
9,183190,아세아시멘트,KOSPI,484490872960,"시멘트, 레미콘, 몰탈",13120.0,12850.0,23.0,10.0,13.0,11,10.0,67.0,2.057926829268293,39.49579831932773,44.003583644548215,-,13011.0,12482.6,13657.307961339042,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 3, ""risk_safe"": 10}",pullback,눌림목,13011.0,12391.2,4.763661517177767,oneil,Inside Day,13120.0,12332.8,6.000000000000005,breakout,Squeeze돌파,13657.307961339042,12882.557961339042,5.672787068968158,5,1266224500.0,-779499560.0,2026-02-25 17:15,2,,0
10,221800,유투바이오,KOSDAQ,413447700300,"체외진단검사서비스, 의료IT솔루션",25950.0,23874.0,25.0,5.0,20.0,9,7.0,66.0,8.0,100.0,45.4186869680443,B,10141.75,6870.3,16485.31607902977,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,25950.0,22886.5,11.80539499036609,breakout,Squeeze돌파,25950.0,21354.75,17.70809248554913,pullback,눌림목,10141.75,6465.55,36.248182019868366,2,303511230.0,429020400.0,2026-02-25 17:15,2,,0
11,134380,미원화학,KOSPI,247417650000,"계면활성제, 황산및분황",112500.0,103800.0,25.0,10.0,12.0,12,7.0,66.0,7.733333333333333,100.0,64.51829338295273,-,104285.0,98896.0,111777.11098062048,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -3}",breakout,Squeeze돌파,112500.0,105975.0,5.800000000000001,oneil,오닐,112500.0,111410.0,0.9688888888888889,pullback,눌림목,104285.0,99070.75,5.0,3,2258000.0,8430100.0,2026-02-25 17:16,2,,0
12,026890,스틱인베스트먼트,KOSPI,498470973000,사모펀드(PEF),11960.0,11210.0,24.0,10.0,17.0,7,8.0,66.0,6.270903010033445,100.0,33.861581378465225,-,11703.5,10640.0,12557.146462753297,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_deduction"": -2}",pullback,눌림목,11703.5,11046.5,5.613705301832785,oneil,오닐,11960.0,11242.4,6.0000000000000036,breakout,Squeeze돌파,12557.146462753297,11735.896462753297,6.5401005111788075,0,1679930370.0,461652310.0,2026-02-25 17:15,2,,0
13,200130,콜마비앤에이치,KOSDAQ GLOBAL,426525591000,건강기능식품,14500.0,13890.0,22.0,10.0,12.0,12,10.0,66.0,4.206896551724138,67.22689075630252,31.4224066174418,-,14333.0,13377.4,14945.02799677867,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_safe"": 10}",oneil,Inside Day,14500.0,14357.0,0.9862068965517241,pullback,눌림목,14333.0,13616.349999999999,5.00000000000001,breakout,Squeeze돌파,14945.02799677867,14237.02799677867,4.737361483381671,4,706652470.0,548745430.0,2026-02-25 17:16,2,,0
14,403550,쏘카,KOSPI,397387014200,"카셰어링, 모빌리티 플랫폼 등",12100.0,11480.0,17.0,23.0,16.0,0,9.0,65.0,5.12396694214876,14.285714285714286,34.00199256483673,C,11977.0,11871.0,12291.238504285066,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -1}",oneil,Pocket Pivot,12100.0,11955.0,1.1983471074380165,pullback,눌림목,11977.0,11378.15,5.000000000000003,breakout,Squeeze돌파,12291.238504285066,11608.738504285066,5.552735794379562,0,-102419610.0,-94926580.0,2026-02-25 17:15,2,,0
