rank,code,name,market,mktcap,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,foreign_consec_buy,foreign_net_5d,inst_net_5d,keywords,news_count,scan_date,chunk
28,005490,POSCO홀딩스,KOSPI,26829273588000,331500.0,23.0,5.0,8.0,0.0,5.0,41.0,297000.0,10.407239819004525,5.882352941176471,29.901726278637312,-,313775.0,312150.0,0,False,5.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
29,397030,에이프릴바이오,KOSDAQ,1143010055500,49250.0,20.0,0.0,12.0,0.0,9.0,41.0,46500.0,5.583756345177665,95.7983193277311,58.51354682377258,-,51497.5,43961.0,7,False,0.0,12.0,12.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
30,083650,비에이치아이,KOSDAQ,1838095875000,59400.0,20.0,0.0,15.0,0.0,5.0,40.0,52700.0,11.27946127946128,68.0672268907563,18.464404246253387,-,55060.0,50303.0,5,False,0.0,15.0,15.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
31,131970,두산테스나,KOSDAQ GLOBAL,991487309400,51300.0,25.0,5.0,0.0,0.0,10.0,40.0,48950.0,4.580896686159844,11.764705882352942,61.64730379203501,-,49470.0,46508.0,1,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
32,100790,미래에셋벤처투자,KOSDAQ,680526561540,12810.0,19.0,0.0,12.0,0.0,9.0,40.0,11950.0,6.713505074160812,91.59663865546219,34.85135511441859,-,14169.5,11024.4,8,False,0.0,12.0,12.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
33,083450,GST,KOSDAQ,508668000000,27600.0,25.0,0.0,5.0,0.0,10.0,40.0,26500.0,3.985507246376811,50.42016806722689,43.63933598458218,-,27552.5,26926.0,4,False,0.0,5.0,5.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
34,028300,HLB,KOSDAQ,6979980392200,52600.0,25.0,5.0,0.0,0.0,9.0,39.0,49600.0,5.7034220532319395,13.445378151260504,49.320266730250744,-,50320.0,49091.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
35,226950,올릭스,KOSDAQ,2780146889100,137700.0,17.0,5.0,10.0,0.0,7.0,39.0,124500.0,9.586056644880173,10.084033613445378,21.634711154410986,-,140095.0,134112.0,3,False,5.0,10.0,10.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
36,058470,리노공업,KOSDAQ GLOBAL,4930906695000,64700.0,25.0,5.0,0.0,0.0,9.0,39.0,61400.0,5.1004636785162285,26.050420168067227,40.37113194665708,-,62690.0,61580.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
37,240810,원익IPS,KOSDAQ GLOBAL,3764735206700,76700.0,25.0,5.0,0.0,0.0,9.0,39.0,71800.0,6.388526727509778,10.084033613445378,57.65009631352253,-,70975.0,66384.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
