rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,041830,인바디,KOSDAQ,463068296700,정밀 체성분 분석기,34350.0,31602.0,21.0,15.0,18.0,11,7.0,72.0,8.0,28.571428571428573,36.634012141716525,B,31102.5,31404.0,34247.10173354426,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,34350.0,32775.0,4.585152838427948,oneil,오닐,34350.0,33300.0,3.056768558951965,pullback,눌림목,31102.5,29842.5,4.051121292500603,5,2610386300.0,-337283850.0,2026-02-05 19:14,2,,0
2,168360,펨트론,KOSDAQ,397452262280,3D 정밀측정 검사장비,18670.0,17176.4,19.0,25.0,20.0,0,7.0,71.0,8.0,0.0,21.07442415224175,B,16934.5,16941.8,19586.542619415963,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,18670.0,17904.0,4.1028387787895015,pullback,눌림목,16934.5,15505.3,8.439576013463643,breakout,Squeeze돌파,19586.542619415963,17800.042619415963,9.121058446675825,0,-3045747680.0,-1029204050.0,2026-02-05 19:14,2,,0
3,140670,알에스오토메이션,KOSDAQ,322921976000,"모션제어기, 드라이브, 에너지제어장치",25150.0,23138.0,25.0,10.0,17.0,12,7.0,71.0,8.0,100.0,67.78691433522867,-,21683.5,17582.8,24731.623869900395,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_deduction"": -3}",breakout,Squeeze돌파,25150.0,20967.25,16.631212723658052,oneil,오닐,25150.0,23200.0,7.75347912524851,pullback,눌림목,21683.5,18337.3,15.43201051490765,4,2875895350.0,589094950.0,2026-02-05 19:14,2,,0
4,043370,피에이치에이,KOSDAQ,255570000000,"자동차용 도어랫치, 도어힌지",12170.0,11550.0,25.0,10.0,12.0,15,9.0,71.0,5.094494658997535,88.23529411764706,48.30995594856487,-,11894.5,11757.8,12626.738918719693,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -1}",pullback,눌림목,11894.5,11299.775,5.000000000000003,oneil,오닐,12170.0,11926.0,2.0049301561216106,breakout,Squeeze돌파,12626.738918719693,11605.238918719693,8.089974827036151,5,1360234250.0,382199900.0,2026-02-05 19:14,2,,0
5,267980,매일유업,KOSDAQ,283937787900,"유제품(우유, 분유, 발효유, 치즈, 음료 등)",37050.0,35200.0,19.0,15.0,18.0,9,10.0,71.0,4.993252361673414,57.983193277310924,36.09263495470208,B,34800.0,35211.0,36984.44326163638,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",oneil,Pocket Pivot,37050.0,36317.5,1.9770580296896088,breakout,Squeeze돌파,37050.0,35951.25,2.9655870445344132,pullback,눌림목,34800.0,33060.0,5.0,2,431614550.0,711494050.0,2026-02-05 19:14,2,,0
6,035510,신세계 I&C,KOSPI,244805559000,"IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권",17510.0,17150.0,25.0,20.0,11.0,4,10.0,70.0,2.055968018275271,14.285714285714286,41.3715916481053,R,17139.5,16868.0,18297.10941864204,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 3, ""risk_safe"": 10}",pullback,눌림목,17139.5,16365.5,4.515884360687301,breakout,Squeeze돌파,18297.10941864204,17329.60941864204,5.287720469192041,oneil,오닐,17510.0,16459.399999999998,6.000000000000012,0,-624281360.0,1129351990.0,2026-02-05 19:14,2,,0
7,033640,네패스,KOSDAQ,436971877900,반도체및TFT-LCD용현상액,18950.0,17434.0,23.0,15.0,16.0,9,7.0,70.0,8.0,31.092436974789916,27.260343885419047,B,16848.5,16745.6,18864.121506671232,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,18950.0,17952.0,5.266490765171504,breakout,Squeeze돌파,18950.0,17453.0,7.899736147757255,pullback,눌림목,16848.5,15650.9,7.108051161824497,2,281560250.0,671991970.0,2026-02-05 19:14,2,,0
8,199820,제일일렉트릭,KOSDAQ,224422000000,"PCB Assay, 배선기구, 분전반 등",10100.0,9690.0,23.0,20.0,12.0,4,10.0,69.0,4.0594059405940595,11.764705882352942,46.698357456860535,R,9972.5,9563.0,10546.923727753468,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_safe"": 10}",pullback,눌림목,9972.5,9421.1,5.529205314615188,oneil,오닐,10100.0,9494.0,6.0,breakout,Squeeze돌파,10546.923727753468,9857.673727753468,6.535080918299317,0,-926152590.0,9059280.0,2026-02-05 19:14,2,,0
9,194370,제이에스코퍼레이션,KOSPI,405364109260,핸드백 및 지갑,13970.0,12852.400000000001,22.0,15.0,15.0,9,7.0,68.0,8.0,46.21848739495798,46.3452468349977,B,11743.5,12297.8,14337.20929803013,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,13970.0,13419.5,3.940586972083035,breakout,Squeeze돌파,14337.20929803013,13511.45929803013,5.7594890528204425,pullback,눌림목,11743.5,11082.9,5.6252394941882775,2,1610494000.0,3608507830.0,2026-02-05 19:14,2,,0
10,031430,신세계인터내셔날,KOSPI,445321800000,"섬유, 의복, 신발 및 가죽제품 소매",12600.0,11592.0,25.0,5.0,16.0,15,7.0,68.0,8.0,47.05882352941177,48.508021224431154,B,11283.5,11097.6,12158.884132850882,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,12600.0,12017.25,4.625,oneil,오닐,12600.0,12211.5,3.0833333333333335,pullback,눌림목,11283.5,10817.3,4.13169672530687,5,610215290.0,1226627010.0,2026-02-05 19:15,2,,0
