rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,241770,메카로,KOSDAQ,271124224000,반도체용 전구체 및 히터블록,26600.0,24472.0,23.0,25.0,20.0,9,7.0,84.0,8.0,10.92436974789916,28.174039645212833,B,23807.5,23009.0,26516.909650834954,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,26600.0,25102.5,5.629699248120301,breakout,Squeeze돌파,26600.0,24353.75,8.444548872180452,pullback,눌림목,23807.5,22010.5,7.548041583534601,2,50207550.0,106771700.0,2026-02-04 18:39,2,,0
2,083310,엘오티베큠,KOSDAQ,252724368270,반도체제조용진공펌프,14190.0,13054.800000000001,23.0,24.0,18.0,11,7.0,83.0,8.0,19.327731092436974,26.153497027088243,A,12907.0,12584.6,13956.752858056185,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,14190.0,13341.75,5.977801268498943,oneil,오닐,14190.0,13624.5,3.985200845665962,pullback,눌림목,12907.0,12228.4,5.257612148446582,5,2694141550.0,-750249820.0,2026-02-04 18:39,2,,0
3,092730,네오팜,KOSDAQ,334984970100,생체기능성(아토피)보습제,20900.0,19228.0,21.0,24.0,16.0,11,7.0,79.0,8.0,0.8403361344537815,34.275490240804054,A,18355.0,18838.0,20549.4456194476,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,20900.0,19679.0,5.842105263157895,oneil,오닐,20900.0,20086.0,3.8947368421052633,pullback,눌림목,18355.0,17437.25,5.0,5,5368943640.0,-1135823560.0,2026-02-04 18:39,2,,0
4,199820,제일일렉트릭,KOSDAQ,236643000000,"PCB Assay, 배선기구, 분전반 등",10650.0,9690.0,23.0,24.0,20.0,7,3.0,77.0,9.014084507042254,13.445378151260504,48.43115944428822,A,9935.0,9542.6,10567.089608946177,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -7}",oneil,Pocket Pivot,10650.0,10201.5,4.211267605633803,breakout,Squeeze돌파,10650.0,9977.25,6.316901408450704,pullback,눌림목,9935.0,9396.8,5.417211877201819,0,236612710.0,4707040.0,2026-02-04 18:39,2,,0
5,001820,삼화콘덴서,KOSPI,344594250000,콘덴서(축전기) 제조,33150.0,30498.0,21.0,25.0,16.0,7,7.0,76.0,8.0,19.327731092436974,38.213957339967116,B,30387.5,30872.0,33714.679112063284,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Inside Day,33150.0,31897.5,3.7782805429864252,breakout,Squeeze돌파,33714.679112063284,31835.929112063284,5.572498536187384,pullback,눌림목,30387.5,28884.5,4.946112710818594,0,1105592500.0,1158932950.0,2026-02-04 18:39,2,,0
6,456010,아이씨티케이,KOSDAQ,254681965280,"PUF반도체,보안솔루션(보안반도체,정보통신모듈기기,정보통신용반도체) 제조,개발",18320.0,16854.4,24.0,25.0,18.0,2,7.0,76.0,8.0,2.5210084033613445,39.381188957870116,B,16133.5,15543.8,17972.774695419394,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,18320.0,16616.0,9.301310043668122,pullback,눌림목,16133.5,15350.0,4.856354789723246,oneil,오닐,18320.0,17184.0,6.2008733624454155,1,-1173503750.0,-433949280.0,2026-02-04 18:39,2,,0
7,330860,네패스아크,KOSDAQ,239538324700,반도체 테스트 서비스,19660.0,18087.2,24.0,20.0,16.0,8,7.0,75.0,8.0,10.92436974789916,31.09102502231036,R,17055.0,17019.6,19772.82256667023,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,19772.82256667023,18324.57256667023,7.3244474587114405,oneil,오닐,19660.0,18694.5,4.910986775178026,pullback,눌림목,17055.0,16202.25,5.0,4,2044318450.0,-1953333650.0,2026-02-04 18:39,2,,0
8,041830,인바디,KOSDAQ,448239326500,정밀 체성분 분석기,33250.0,30590.0,21.0,15.0,20.0,11,7.0,74.0,8.0,26.89075630252101,35.34420322451907,B,30960.0,31283.0,34088.92239708247,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,34088.92239708247,32607.672397082468,4.345253225507575,oneil,오닐,33250.0,32262.5,2.9699248120300754,pullback,눌림목,30960.0,29775.0,3.827519379844961,5,2665522800.0,-238438250.0,2026-02-04 18:40,2,,0
9,282880,코윈테크,KOSDAQ,211036408000,"공정자동화설비(2차전지,석유화학,반도체,디스플레이)",18400.0,17610.0,25.0,10.0,12.0,15,10.0,72.0,4.293478260869565,60.50420168067227,60.72648457715154,-,17660.5,16418.28,19271.858051089497,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_safe"": 10}",pullback,눌림목,17660.5,16114.3,8.75513150816795,oneil,오닐,18400.0,17296.0,6.0,breakout,Squeeze돌파,19271.858051089497,17339.108051089497,10.028872124713143,5,2110391140.0,20000.0,2026-02-04 18:40,2,,0
10,210980,SK디앤디,KOSPI,238302489600,"비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)",12800.0,12550.0,21.0,20.0,15.0,6,10.0,72.0,1.953125,19.327731092436974,30.56884154713214,R,12687.0,12737.0,13071.046258039116,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 3, ""risk_safe"": 10}",breakout,Squeeze돌파,13071.046258039116,12873.796258039116,1.5090605304734872,pullback,눌림목,12687.0,12052.65,5.000000000000003,oneil,오닐,12800.0,12676.0,0.96875,2,-290486630.0,352044670.0,2026-02-04 18:40,2,,0
