rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,007690,국도화학,KOSPI,325055203200,기타,35100.0,31300.0,20.0,20.0,15.0,15,5.0,75.0,10.826210826210826,4.201680672268908,21.233438965394193,R,33257.5,32498.0,34912.770518991754,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 5, ""risk_deduction"": -5}",5,449638700.0,599676100.0,2026-01-20 17:04,2,,0
2,004700,조광피혁,KOSPI,478737936000,기타,72000.0,63200.0,21.0,23.0,18.0,6,5.0,73.0,12.222222222222221,3.361344537815126,31.688120430552523,C,67040.0,68510.0,72941.56333766985,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -5}",2,-24960100.0,36838700.0,2026-01-20 17:03,2,,0
3,035510,신세계 I&C,KOSPI,236556828000,기타,16920.0,15310.0,21.0,20.0,15.0,9,7.0,72.0,9.515366430260046,5.042016806722689,31.205732747932142,R,16478.5,16625.4,17797.340432379133,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 3, ""risk_deduction"": -3}",2,1565248260.0,497567500.0,2026-01-20 17:04,2,,0
4,199430,케이엔알시스템,KOSDAQ,377782777050,기타,34350.0,31602.0,22.0,15.0,20.0,5,9.0,71.0,8.0,17.647058823529413,21.160669739913885,B,27367.5,25958.0,32901.774763522524,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",1,2464230500.0,-30200.0,2026-01-20 17:04,2,,0
5,244920,에이플러스에셋,KOSPI,248684623000,기타,11000.0,10120.0,24.0,10.0,12.0,15,9.0,70.0,8.0,100.0,30.291634720965654,-,9696.5,8682.8,11242.4545909751,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -1}",5,6111463780.0,620386000.0,2026-01-20 17:04,2,,0
6,211270,AP위성,KOSDAQ,263186204800,기타,17450.0,16054.0,25.0,5.0,20.0,9,9.0,68.0,8.0,100.0,68.3804578696582,B,13995.0,12393.2,15377.93625379283,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",1,1823673770.0,970845190.0,2026-01-20 17:04,2,,0
7,451760,컨텍,KOSDAQ,274387006040,기타,17990.0,16550.8,25.0,5.0,20.0,9,9.0,68.0,8.0,100.0,77.0696093634516,B,12971.0,10098.2,14852.388003772649,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",1,23913820.0,2641435720.0,2026-01-20 17:04,2,,0
8,115310,인포바인,KOSDAQ,241062666500,기타,75500.0,69460.0,20.0,10.0,20.0,9,9.0,68.0,8.0,21.008403361344538,27.132108356403098,-,64615.0,68786.0,77358.84435446287,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",1,56109300.0,2394500.0,2026-01-20 17:04,2,,0
9,003920,남양유업,KOSPI,310200000000,기타,51700.0,49050.0,12.0,20.0,15.0,11,9.0,67.0,5.1257253384912955,0.0,20.485568757276518,R,50530.0,50697.0,53611.066197904365,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 5, ""risk_deduction"": -1}",5,286304300.0,-144811500.0,2026-01-20 17:04,2,,0
10,389500,에스비비테크,KOSDAQ,463008382400,기타,73100.0,67252.0,24.0,5.0,20.0,9,9.0,67.0,8.0,100.0,35.54415358072351,B,45870.0,37468.0,57289.870472467475,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",1,1701628200.0,4428497600.0,2026-01-20 17:04,2,,0
