rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,base_stop,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,108490,로보티즈,KOSDAQ,4786273908000,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",328500.0,306550.0,23.0,25.0,18.0,15,8.0,89.0,6.6818873668188745,6.722689075630252,27.29259466007779,B,263625.0,258936.0,317795.96419495915,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -2}",81801.0,oneil,Pocket Pivot,328500.0,306550.0,6.6818873668188745,breakout,돌파,335070.0,302145.0,9.826304951204227,pullback,눌림목,263625.0,237285.0,9.991465149359886,5,115010150500.0,179482181500.0,2026-01-29 18:39,1,,0
2,078930,GS,KOSPI,6178872637000,지주회사/부동산 임대,66500.0,64815.0,25.0,20.0,13.0,11,10.0,79.0,4.444935869084476,16.80672268907563,58.38503280069694,R,60020.0,58222.0,64393.97485509385,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 5, ""risk_safe"": 10}",40700.0,breakout,돌파,67830.0,64815.0,4.444935869084476,oneil,오닐,66500.0,64490.0,3.0225563909774436,pullback,눌림목,60020.0,57608.0,4.018660446517827,5,21894701600.0,-4155108300.0,2026-01-29 18:39,1,,0
3,060370,LS마린솔루션,KOSDAQ,1669031385300,해저케이블등의 건설 및 유지보수 업무,31950.0,31430.902898866938,20.0,20.0,20.0,7,9.0,76.0,5.448654320044766,14.285714285714286,29.336836239710866,R,29237.5,29263.0,33242.15289886694,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",29450.0,breakout,돌파,33242.15289886694,31430.902898866938,5.448654320044766,oneil,오닐,31950.0,30742.5,3.779342723004695,pullback,눌림목,29237.5,27775.625,5.0,0,162053700.0,21204277200.0,2026-01-29 18:39,1,,0
4,034230,파라다이스,KOSPI,1636502449890,"카지노, 호텔, 복합리조트",17710.0,17074.5,19.0,25.0,18.0,3,10.0,75.0,3.588368153585545,0.0,22.507906992238627,B,16769.0,17021.4,18636.92989681206,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",14110.0,oneil,Pocket Pivot,17710.0,17074.5,3.588368153585545,breakout,돌파,18636.92989681206,17683.67989681206,5.114844586945933,pullback,눌림목,16769.0,16006.4,4.547677261613694,0,78025270.0,-4421732170.0,2026-01-29 18:39,1,,0
5,195870,해성디에스,KOSPI,1054000000000,반도체 패키지용 Substrate,62000.0,57112.5,22.0,25.0,18.0,7,3.0,75.0,9.689278937381404,6.722689075630252,24.41934789464727,B,53825.0,53325.0,59945.84405833504,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -7}",19990.0,breakout,돌파,63240.0,57112.5,9.689278937381404,oneil,오닐,62000.0,57915.0,6.588709677419355,pullback,눌림목,53825.0,48923.0,9.107292150487693,0,7732796300.0,12924242100.0,2026-01-29 18:39,1,,0
6,069260,TKG휴켐스,KOSPI,825747477600,"화합물,화학제품 제조",20200.0,19728.5,22.0,15.0,13.0,15,10.0,75.0,2.3341584158415842,78.15126050420169,43.80405029223251,B,18580.0,18806.2,20032.746238159056,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",17980.0,oneil,Pocket Pivot,20200.0,19728.5,2.3341584158415842,breakout,돌파,20604.0,19896.75,3.432585905649389,pullback,눌림목,18580.0,18014.2,3.045209903121632,5,3143458340.0,2185797780.0,2026-01-29 18:40,1,,0
7,004990,롯데지주,KOSPI,3320377351050,지주회사,31650.0,30552.5,22.0,15.0,16.0,12,10.0,75.0,3.467614533965245,63.865546218487395,50.8236163494308,B,27895.0,28162.0,32455.779419940845,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",26950.0,oneil,Oops Reversal,31650.0,30552.5,3.467614533965245,breakout,돌파,32455.779419940845,30809.529419940845,5.072286136467095,pullback,눌림목,27895.0,26950.0,3.3877038895859477,3,6286114450.0,5947270600.0,2026-01-29 18:39,1,,0
8,103140,풍산,KOSPI,3629144001000,기타,129500.0,123435.0,25.0,10.0,17.0,15,8.0,75.0,6.552350669997729,35.294117647058826,59.201160292858084,-,121335.0,109346.0,128998.85986932053,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_deduction"": -2}",93500.0,breakout,돌파,132090.0,123435.0,6.552350669997729,oneil,오닐,129500.0,123730.0,4.455598455598456,pullback,눌림목,121335.0,114411.0,5.706515020398071,5,36710066500.0,12966582800.0,2026-01-29 18:40,1,,0
9,102940,코오롱생명과학,KOSDAQ,784752835200,"항균제, 수처리제, 원료의약 등",60800.0,59332.38886546582,21.0,15.0,20.0,11,7.0,74.0,7.186027627396148,65.54621848739495,39.01695134761667,B,49560.0,50758.0,63926.13886546582,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",33000.0,breakout,돌파,63926.13886546582,59332.38886546582,7.186027627396148,oneil,오닐,60800.0,57737.5,5.037006578947369,pullback,눌림목,49560.0,45885.0,7.415254237288135,5,6064957500.0,-1612049000.0,2026-01-29 18:39,1,,0
10,090430,아모레퍼시픽,KOSPI,8159739880500,"화장품,생활용품 제조, 판매",139500.0,136192.5,21.0,15.0,13.0,15,10.0,74.0,4.2852624920936115,62.18487394957983,25.160471489301283,B,124635.0,124232.0,133808.2488931739,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",120300.0,breakout,돌파,142290.0,136192.5,4.2852624920936115,oneil,오닐,139500.0,135435.0,2.913978494623656,pullback,눌림목,124635.0,120300.0,3.478156216151161,5,69992804800.0,67621186600.0,2026-01-29 18:40,1,,0
11,004690,삼천리,KOSPI,559593450000,도시가스 공급/부동산 임대,138000.0,133700.0,20.0,15.0,18.0,11,10.0,74.0,3.1159420289855073,54.621848739495796,25.61675103642582,B,125400.0,126964.0,137020.35664640655,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",96800.0,oneil,Pocket Pivot,138000.0,133700.0,3.1159420289855073,breakout,돌파,140760.0,134310.0,4.58226768968457,pullback,눌림목,125400.0,120240.0,4.114832535885168,5,3151350500.0,-1018366100.0,2026-01-29 18:39,1,,0
12,185750,종근당,KOSPI,1199461582000,"딜라트렌,리피로우",86900.0,82800.0,22.0,20.0,10.0,11,10.0,73.0,1.4403047256279013,10.084033613445378,42.33419322624368,R,84010.0,85270.0,88746.77171371465,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_today"": 5, ""risk_safe"": 10}",82800.0,pullback,눌림목,84010.0,82800.0,1.4403047256279013,breakout,돌파,88746.77171371465,85964.27171371465,3.1353253152418623,oneil,오닐,86900.0,85230.0,1.9217491369390105,5,5972537200.0,-160571400.0,2026-01-29 18:39,1,,0
13,195940,HK이노엔,KOSDAQ GLOBAL,1617636776100,"전문의약품, 숙취해소음료",57100.0,54739.5,17.0,15.0,18.0,15,8.0,73.0,6.013701452560008,63.02521008403362,14.773651672820183,B,50382.5,50832.0,55003.18262145289,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -2}",45650.0,breakout,돌파,58242.0,54739.5,6.013701452560008,oneil,오닐,57100.0,54765.0,4.089316987740806,pullback,눌림목,50382.5,47580.5,5.561454870242644,5,29262008000.0,32150915400.0,2026-01-29 18:40,1,,0
14,006730,서부T&D,KOSDAQ,1025845383400,석유류판매,15800.0,15009.5,25.0,15.0,18.0,6,9.0,73.0,5.003164556962025,82.3529411764706,52.42430915962246,B,13677.0,12763.4,15585.34563053764,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -1}",10190.0,oneil,Pocket Pivot,15800.0,15009.5,5.003164556962025,breakout,돌파,16116.0,14930.25,7.357594936708861,pullback,눌림목,13677.0,12728.4,6.935731520070193,1,-2603272640.0,14534932660.0,2026-01-29 18:39,1,,0
15,002790,아모레퍼시픽홀딩스,KOSPI,2316205947000,지주회사,29150.0,28265.31022666316,19.0,20.0,13.0,11,9.0,72.0,5.810745111073727,15.126050420168067,20.040365909988996,R,27010.0,27590.0,30009.06022666316,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -1}",25200.0,breakout,돌파,30009.06022666316,28265.31022666316,5.810745111073727,oneil,오닐,29150.0,27987.5,3.9879931389365355,pullback,눌림목,27010.0,25615.0,5.164753794890782,5,11427568650.0,-2053995800.0,2026-01-29 18:40,1,,0
16,003090,대웅,KOSPI,1389593322000,"지주회사/의약품,화공약품,농예약품,위생용품,의료용구,식품,전기전자기구,부품 제조,판매",23900.0,24214.464772265972,22.0,10.0,15.0,15,10.0,72.0,4.248415544861243,5.042016806722689,43.64890856877309,-,22065.0,23002.0,25288.839772265972,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 5, ""risk_safe"": 10}",23000.0,breakout,돌파,25288.839772265972,24214.464772265972,4.248415544861243,oneil,오닐,23900.0,23183.75,2.9968619246861925,pullback,눌림목,22065.0,20961.75,5.0,5,3502343050.0,1085573750.0,2026-01-29 18:40,1,,0
17,002020,코오롱,KOSPI,747354672000,지주회사,57900.0,55000.5,21.0,10.0,17.0,15,8.0,71.0,6.870364726201361,37.81512605042017,37.51647837459331,-,46497.5,49481.0,56570.059934764446,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_deduction"": -2}",30200.0,breakout,돌파,59058.0,55000.5,6.870364726201361,oneil,오닐,57900.0,55195.0,4.671848013816926,pullback,눌림목,46497.5,43251.5,6.981020484972309,5,13080407850.0,144112750.0,2026-01-29 18:41,1,,0
18,001800,오리온홀딩스,KOSPI,1328082946400,자회사 관리 지주사업 등,21200.0,19650.0,22.0,20.0,8.0,11,10.0,71.0,3.1995861967043524,0.0,45.62313172514398,R,20299.5,20384.6,21549.51971540194,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 3, ""vol_today"": 5, ""risk_safe"": 10}",19650.0,pullback,눌림목,20299.5,19650.0,3.1995861967043524,breakout,돌파,21549.51971540194,20683.64471540194,4.018070989216243,oneil,오닐,21200.0,20730.0,2.2169811320754715,5,2524876600.0,-1534143350.0,2026-01-29 18:40,1,,0
