rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,035720,카카오,KOSPI,27574333178700,인터넷 서비스(인터넷 광고),62300.0,57316.0,17.0,25.0,20.0,9,7.0,78.0,8.0,8.403361344537815,14.237617706983524,B,58950.0,59158.0,62779.64169225692,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,62300.0,60212.5,3.350722311396469,breakout,Squeeze돌파,62779.64169225692,59648.39169225692,4.987683770718622,pullback,눌림목,58950.0,56445.0,4.249363867684478,1,117737441000.0,132977022700.0,2026-02-27 17:12,1,,0
2,373220,LG에너지솔루션,KOSPI,99918000000000,"2차전지 (소형,ESS,자동차전지)",427000.0,388000.0,22.0,20.0,17.0,15,3.0,77.0,9.133489461358314,0.0,23.960551912033306,R,403725.0,397170.0,446425.08083749644,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_deduction"": -7}",pullback,눌림목,403725.0,388000.0,3.8949780172146884,oneil,오닐,427000.0,409475.0,4.104215456674473,breakout,Squeeze돌파,446425.08083749644,420137.58083749644,5.888446041312122,5,112491990000.0,22785964000.0,2026-02-27 17:13,1,,0
3,180640,한진칼,KOSPI,10434944207700,"지주사업, 경영자문 및 컨설팅",156300.0,143796.0,25.0,15.0,13.0,15,7.0,75.0,8.0,100.0,43.54417077700841,B,132580.0,125948.0,153308.61092766817,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,156300.0,142507.5,8.824376199616122,oneil,오닐,156300.0,149490.0,4.357005758157389,pullback,눌림목,132580.0,121546.0,8.322522250716549,5,25824325000.0,7120534000.0,2026-02-27 17:13,1,,0
4,389470,인벤티지랩,KOSDAQ,1242756684000,마이크로/나노 입자 기반 약물전달 플랫폼 및 관련 제품,93600.0,86112.0,19.0,25.0,20.0,3,7.0,74.0,8.0,0.0,20.90454694886242,B,76035.0,79692.0,95191.42064345868,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,93600.0,86690.0,7.382478632478633,breakout,Squeeze돌파,95191.42064345868,84826.42064345868,10.888586313699749,pullback,눌림목,76035.0,67800.0,10.830538567764846,0,8247341900.0,-2696837400.0,2026-02-27 17:12,1,,0
5,101490,에스앤에스텍,KOSDAQ,2105752557300,블랭크마스크,98700.0,90804.0,24.0,15.0,20.0,8,7.0,74.0,8.0,98.31932773109244,31.926106219918612,B,90120.0,69450.0,102737.80213550385,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,오닐,98700.0,91350.0,7.446808510638298,pullback,눌림목,90120.0,80922.0,10.206391478029294,breakout,Squeeze돌파,102737.80213550385,91240.30213550385,11.191109563387016,3,3761158500.0,-13350388300.0,2026-02-27 17:12,1,,0
6,038500,삼표시멘트,KOSDAQ,1872347909100,시멘트 제품,17350.0,15962.0,22.0,15.0,20.0,9,7.0,73.0,8.0,89.91596638655462,24.520758426766832,B,14444.5,8740.5,18134.022935442383,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,17350.0,15251.0,12.097982708933717,breakout,Squeeze돌파,18134.022935442383,13017.522935442383,28.214919646980043,pullback,눌림목,14444.5,10351.3,28.337429471425114,2,2045277820.0,768252150.0,2026-02-27 17:13,1,,0
7,011790,SKC,KOSPI,4286691333600,"기초화학원료(PO, PG), 전지용 동박 등을 제조ㆍ판매하는 사업",113200.0,104600.0,20.0,20.0,18.0,8,7.0,73.0,7.597173144876325,3.361344537815126,16.06541888332076,R,112840.0,109878.0,118127.58806937783,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Oops Reversal,113200.0,111390.0,1.598939929328622,pullback,눌림목,112840.0,107198.0,5.0,breakout,Squeeze돌파,118127.58806937783,109780.08806937783,7.066511842345759,4,22650977500.0,-39379251500.0,2026-02-27 17:13,1,,0
8,226950,올릭스,KOSDAQ,3634178940000,siRNA 신약 개발,180000.0,165600.0,22.0,15.0,15.0,12,7.0,71.0,8.0,17.647058823529413,21.41569193902772,B,139525.0,138912.0,160731.11664391047,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,180000.0,163068.75,9.40625,oneil,오닐,180000.0,168712.5,6.270833333333334,pullback,눌림목,139525.0,125980.0,9.707937645583229,4,76528946700.0,27690537800.0,2026-02-27 17:13,1,,0
9,323410,카카오뱅크,KOSPI,12951675014550,은행 및 금융서비스,27150.0,26550.0,23.0,10.0,12.0,15,10.0,70.0,2.209944751381215,100.0,76.24232042532137,-,26387.5,23612.0,28392.23413433609,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_safe"": 10}",pullback,눌림목,26387.5,25050.0,5.068687825675036,oneil,오닐,27150.0,25521.0,6.0,breakout,Squeeze돌파,28392.23413433609,26224.73413433609,7.634129775573872,5,24690472600.0,13962292500.0,2026-02-27 17:13,1,,0
10,466100,클로봇,KOSDAQ,1854416713800,"로봇 소프트웨어(카멜레온, 크롬스)",74200.0,68264.0,20.0,15.0,20.0,8,7.0,70.0,8.0,12.605042016806722,16.22759327257541,B,69660.0,66794.0,81796.40174431351,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Oops Reversal,74200.0,70135.0,5.47843665768194,pullback,눌림목,69660.0,64782.0,7.002583979328166,breakout,Squeeze돌파,81796.40174431351,75698.90174431351,7.454484390474914,4,13240695700.0,-1908482500.0,2026-02-27 17:13,1,,0
