rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,475960,토모큐브,KOSDAQ,819056368800,"홀로토모그래피 HT-X1, HT-2H",61200.0,56304.0,20.0,25.0,16.0,12,7.0,80.0,8.0,18.48739495798319,28.810387574797833,B,48555.0,50568.0,60062.64535520386,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Oops Reversal,61200.0,57527.5,6.000816993464053,breakout,Squeeze돌파,61200.0,55691.25,9.001225490196079,pullback,눌림목,48555.0,44148.0,9.076305220883533,4,9970088300.0,2836924500.0,2026-02-10 19:50,1,,0
2,069620,대웅제약,KOSPI,2072838267500,"양약,의료기기 제조/화장품,의약부의품 도소매/부동산 임대",178900.0,164588.0,17.0,25.0,16.0,9,7.0,74.0,8.0,10.084033613445378,14.579416938993424,B,166575.0,173348.0,187599.40189479053,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,오닐,178900.0,172935.0,3.334264952487423,pullback,눌림목,166575.0,159417.0,4.297163439891941,breakout,Squeeze돌파,187599.40189479053,178651.90189479053,4.769471495979468,2,5246563200.0,1096396700.0,2026-02-10 19:50,1,,0
3,214320,이노션,KOSPI,798000000000,광고대행 및 광고물의 제작 등,19950.0,18450.0,25.0,20.0,13.0,9,7.0,74.0,7.518796992481203,8.403361344537815,43.731260590175864,R,18876.0,18707.2,19561.843003996906,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 5, ""risk_deduction"": -3}",breakout,Squeeze돌파,19950.0,19366.5,2.924812030075188,pullback,눌림목,18876.0,18780.0,0.5085823267641449,oneil,오닐,19950.0,19561.0,1.9498746867167918,2,6118956110.0,438953580.0,2026-02-10 19:50,1,,0
4,458870,씨어스테크놀로지,KOSDAQ,2077204320000,심전도검사솔루션 입원환자모니터링솔루션,164000.0,151100.0,25.0,20.0,12.0,6,7.0,70.0,7.865853658536586,0.0,64.0526171095814,R,152315.0,132576.0,167475.8835178939,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -3}",oneil,오닐,164000.0,161980.0,1.2317073170731707,pullback,눌림목,152315.0,137129.0,9.970127695893378,breakout,Squeeze돌파,167475.8835178939,148493.3835178939,11.334467746200499,1,-14027384000.0,11861445000.0,2026-02-10 19:50,1,,0
5,003160,디아이,KOSPI,1035780000000,"반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",36600.0,33672.0,25.0,10.0,15.0,11,7.0,68.0,8.0,73.94957983193277,45.27080996898774,-,31830.0,26523.8,36056.82039166741,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 3, ""risk_deduction"": -3}",breakout,Squeeze돌파,36600.0,32295.0,11.762295081967213,oneil,오닐,36600.0,33730.0,7.841530054644809,pullback,눌림목,31830.0,28386.0,10.819981149858624,5,19681153150.0,-4465471600.0,2026-02-10 19:50,1,,0
6,047050,포스코인터내셔널,KOSPI,11259058432000,"영업활동의 주요 품목으로 에너지 사업내 천연가스 발전, 태양력, 풍력, 수소 등이 있으며, 트레이딩 사업은 철강 및 철강원료, 이차전지소재, 곡물, 유지, 면방, 바이오플라스틱, 친환경차부품, 인프라 및 산업 플랜트 등이 있음.",64000.0,60000.0,25.0,10.0,12.0,12,8.0,67.0,6.25,100.0,73.08635164604341,-,62680.0,56227.0,66773.17278314769,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -2}",pullback,눌림목,62680.0,58522.0,6.633694958519463,oneil,오닐,64000.0,60160.0,6.0,breakout,Squeeze돌파,66773.17278314769,61575.67278314769,7.783814641966141,3,6786100700.0,20870528300.0,2026-02-10 19:50,1,,0
7,004020,현대제철,KOSPI,4270265120000,"H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매",32000.0,29450.0,22.0,20.0,8.0,9,7.0,66.0,7.968749999999999,0.0,34.45373251383855,R,31777.5,31099.0,33214.94261403099,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""risk_deduction"": -3}",pullback,눌림목,31777.5,30750.0,3.233419872551333,oneil,오닐,32000.0,31200.0,2.5,breakout,Squeeze돌파,33214.94261403099,30934.942614030988,6.864380367879545,1,3188683900.0,1616526200.0,2026-02-10 19:50,1,,0
8,036460,한국가스공사,KOSPI,3946380750000,"액화천연가스 공급,제조,도매,개발",42750.0,38800.0,20.0,20.0,13.0,9,3.0,65.0,9.239766081871345,6.722689075630252,43.095482681543714,R,40385.0,40492.0,42906.65770133515,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -7}",breakout,Squeeze돌파,42906.65770133515,41277.28270133515,3.797487586522727,pullback,눌림목,40385.0,40300.0,0.2104741859601337,oneil,오닐,42750.0,41663.75,2.5409356725146197,2,41111053650.0,3478035850.0,2026-02-10 19:50,1,,0
9,008930,한미사이언스,KOSPI,3077619750000,"항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매",45000.0,41400.0,23.0,15.0,13.0,6,7.0,64.0,8.0,58.8235294117647,40.196857740027845,B,41262.5,38920.0,44181.060862424936,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,45000.0,40985.625,8.920833333333334,oneil,오닐,45000.0,43765.0,2.7444444444444445,pullback,눌림목,41262.5,38051.0,7.783096031505604,2,-3742663850.0,19135482850.0,2026-02-10 19:50,1,,0
10,035250,강원랜드,KOSPI,3936505200000,"카지노,관광호텔,골프장,스키장,체육시설 운영",18400.0,16920.0,22.0,20.0,8.0,9,5.0,64.0,8.043478260869565,0.0,43.46742406238576,R,17710.5,18026.8,18782.56526454479,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_today"": 3, ""risk_deduction"": -5}",breakout,Squeeze돌파,18782.56526454479,18276.31526454479,2.695318732397171,pullback,눌림목,17710.5,16824.975,5.000000000000008,oneil,오닐,18400.0,18062.5,1.8342391304347827,2,11887859000.0,3927402680.0,2026-02-10 19:50,1,,0
