rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,415640,KB발해인프라,KOSPI,1227906390960,기타,10020.0,9218.4,24.0,25.0,15.0,5,7.0,76.0,8.0,0.0,34.38003120864409,B,10012.0,9963.0,10176.775181883191,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",pullback,눌림목,10012.0,9824.2,1.8757491010786984,breakout,Squeeze돌파,10176.775181883191,9942.025181883191,2.3067228646055242,oneil,오닐,10020.0,9418.8,6.000000000000007,2,222884930.0,-664348910.0,2026-02-24 17:16,1,,0
2,060370,LS마린솔루션,KOSDAQ,1755225494400,해저케이블등의 건설 및 유지보수 업무,33600.0,30912.0,20.0,20.0,20.0,7,7.0,74.0,8.0,0.8403361344537815,13.078427045295753,R,30177.5,30171.0,33455.12443955816,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,33600.0,31968.75,4.854910714285714,breakout,Squeeze돌파,33600.0,31153.125,7.282366071428571,pullback,눌림목,30177.5,29450.0,2.410736475851214,0,1043861550.0,9897634150.0,2026-02-24 17:16,1,,0
3,006400,삼성SDI,KOSPI,33966800895000,"2차전지, 전자재료 제조 판매",421500.0,387780.0,24.0,15.0,20.0,7,7.0,73.0,8.0,68.90756302521008,30.967130379173284,B,386025.0,329820.0,419716.34722780745,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,421500.0,398300.0,5.504151838671412,breakout,Squeeze돌파,421500.0,386700.0,8.256227758007118,pullback,눌림목,386025.0,358185.0,7.211968136778705,0,81450232000.0,34798685000.0,2026-02-24 17:16,1,,0
4,000880,한화,KOSPI,9894553020000,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",132000.0,121440.0,20.0,15.0,20.0,9,7.0,71.0,8.0,100.0,19.465148256264165,B,118230.0,103524.0,137968.70332704738,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,오닐,132000.0,124760.0,5.484848484848484,pullback,눌림목,118230.0,109542.0,7.348388733823903,breakout,Squeeze돌파,137968.70332704738,127108.70332704738,7.871350341140015,2,7908372400.0,23492216600.0,2026-02-24 17:16,1,,0
5,000500,가온전선,KOSPI,1619570958500,"전력선,통신케이블 제조,도매,수출입",97900.0,90068.0,22.0,10.0,17.0,15,7.0,71.0,8.0,36.134453781512605,22.302743443861342,-,88525.0,87168.0,98351.07583180103,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_deduction"": -3}",oneil,Inside Day,97900.0,92692.5,5.319203268641471,breakout,Squeeze돌파,98351.07583180103,90539.82583180103,7.942211037283127,pullback,눌림목,88525.0,82276.0,7.059022874894098,5,6477755600.0,881008400.0,2026-02-24 17:16,1,,0
6,016610,DB증권,KOSPI,665983843410,"유가증권,위탁매매,인수,자기매매",15690.0,14434.800000000001,25.0,15.0,18.0,4,7.0,69.0,8.0,100.0,45.339256105890705,B,13860.5,12220.6,15395.999278082554,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,15690.0,14203.5,9.474187380497131,oneil,오닐,15690.0,14904.0,5.009560229445507,pullback,눌림목,13860.5,12671.3,8.579777064319474,0,-6486295600.0,179891170.0,2026-02-24 17:16,1,,0
7,476060,온코닉테라퓨틱스,KOSDAQ,1142395528000,"자큐보정(Zastaprazan, 소화기질환 신약), Nesuparib(표적항암제 신약)",25450.0,23414.0,20.0,14.0,20.0,8,7.0,69.0,8.0,5.882352941176471,26.425713987499627,A,18708.5,19191.4,22494.01125472463,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,25450.0,24139.5,5.149312377210216,breakout,Squeeze돌파,25450.0,23484.25,7.7239685658153245,pullback,눌림목,18708.5,17773.075,4.9999999999999964,3,6723801110.0,-333709490.0,2026-02-24 17:16,1,,0
8,057050,현대홈쇼핑,KOSPI,1114800000000,TV홈쇼핑 도소매/홈쇼핑프로그램 제작,92900.0,85468.0,25.0,5.0,16.0,15,7.0,68.0,8.0,100.0,87.1044708664259,B,65990.0,58944.0,75920.37908459906,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,92900.0,89345.0,3.8266953713670615,breakout,Squeeze돌파,92900.0,87567.5,5.740043057050592,pullback,눌림목,65990.0,62690.5,5.0,5,4779828100.0,4147244700.0,2026-02-24 17:17,1,,0
9,089970,브이엠,KOSDAQ,1009423588250,300mm Poly Etch System,41350.0,38042.0,23.0,5.0,20.0,12,7.0,67.0,8.0,42.016806722689076,29.970437640565688,B,30987.5,29414.0,35286.879555488544,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,41350.0,38700.0,6.408706166868199,breakout,Squeeze돌파,41350.0,37375.0,9.613059250302298,pullback,눌림목,30987.5,27807.5,10.262202501008472,3,1219865100.0,10909833350.0,2026-02-24 17:16,1,,0
10,007700,F&F홀딩스,KOSPI,872250384100,지주회사,22300.0,19760.0,22.0,20.0,10.0,15,0.0,67.0,11.390134529147982,11.764705882352942,22.45994312279462,R,20712.5,20107.4,21985.831022515827,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 5, ""vol_today"": 5, ""risk_deduction"": -10}",breakout,Squeeze돌파,22300.0,20832.25,6.581838565022421,pullback,눌림목,20712.5,20400.0,1.508750754375377,oneil,오닐,22300.0,21321.5,4.387892376681615,5,351008500.0,45353550.0,2026-02-24 17:17,1,,0
