rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,base_stop,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,005490,POSCO홀딩스,KOSPI,29095396244000,"열연코일,냉연강판,후판,선재,스테인리스 제조",359500.0,345475.0,24.0,25.0,13.0,9,10.0,81.0,3.90125173852573,13.445378151260504,38.040692552269455,B,323350.0,316200.0,345485.2143985095,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",312000.0,oneil,Pocket Pivot,359500.0,345475.0,3.90125173852573,breakout,돌파,366690.0,345652.5,5.737134909596662,pullback,눌림목,323350.0,312000.0,3.5101283438997988,3,-50376659000.0,10571194500.0,2026-01-22 17:03,1,,0
2,003550,LG,KOSPI,13679454589500,지주회사,88700.0,86799.0,23.0,20.0,11.0,15,10.0,79.0,4.061940446979243,6.722689075630252,29.063620316035962,R,83535.0,82516.0,87740.17137677468,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 3, ""risk_safe"": 10}",78600.0,breakout,돌파,90474.0,86799.0,4.061940446979243,oneil,오닐,88700.0,86250.0,2.7621195039458852,pullback,눌림목,83535.0,80595.0,3.519482851499371,5,16325537200.0,10497970400.0,2026-01-22 17:03,1,,0
3,247540,에코프로비엠,KOSDAQ GLOBAL,16860951705600,양극활물질,172400.0,165205.0,21.0,25.0,16.0,7,10.0,79.0,4.173433874709977,0.0,31.98933900607394,B,152295.0,155418.0,177623.33516973493,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",140400.0,oneil,Pocket Pivot,172400.0,165205.0,4.173433874709977,breakout,돌파,177623.33516973493,166830.83516973493,6.076059764155878,pullback,눌림목,152295.0,143661.0,5.669260317147641,0,7024917500.0,20090673800.0,2026-01-22 17:03,1,,0
4,006730,서부T&D,KOSDAQ,977799460380,석유류판매,15060.0,14327.7,23.0,15.0,20.0,12,8.0,78.0,6.727990000781188,79.83193277310924,27.459548654871856,B,13107.5,12175.8,14966.49255586507,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -2}",10190.0,breakout,돌파,15361.2,14327.7,6.727990000781188,oneil,오닐,15060.0,14371.0,4.575033200531208,pullback,눌림목,13107.5,12280.7,6.307839023459846,3,4460020280.0,14926425840.0,2026-01-22 17:03,1,,0
5,009520,포스코엠텍,KOSDAQ GLOBAL,785381378580,철강포장용역 및 Al탈산제 생산,18860.0,17802.0,24.0,24.0,20.0,0,9.0,77.0,5.609756097560976,18.48739495798319,31.348826602508513,A,16681.0,16121.2,18092.005078479477,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",16480.0,oneil,Pocket Pivot,18860.0,17802.0,5.609756097560976,breakout,돌파,19237.2,17650.2,8.24964131994261,pullback,눌림목,16681.0,16480.0,1.2049637311911756,0,-6743828460.0,-217787460.0,2026-01-22 17:03,1,,0
6,240810,원익IPS,KOSDAQ GLOBAL,3750010036400,반도체 제조용 기계,76400.0,68462.0,25.0,20.0,12.0,12,7.0,76.0,7.6709372892784895,15.126050420168067,54.1398045941376,R,74150.0,66972.0,80385.3984911296,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -3}",23500.0,pullback,눌림목,74150.0,68462.0,7.6709372892784895,breakout,돌파,80385.3984911296,73275.3984911296,8.84488990968251,oneil,오닐,76400.0,76210.0,0.24869109947643978,3,7974962000.0,4223215000.0,2026-01-22 17:03,1,,0
7,001440,대한전선,KOSPI,5248491495000,"전력선,통신케이블,적산계기,스텐레스압연제품,광케이블,초고압선,알루미늄 제조,도매/전기공사",28150.0,26612.5,25.0,15.0,20.0,7,9.0,76.0,5.461811722912966,37.81512605042017,55.00359946696785,B,25372.5,24106.0,27811.052017310474,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",15960.0,oneil,Pocket Pivot,28150.0,26612.5,5.461811722912966,breakout,돌파,28713.0,26406.75,8.032076063107302,pullback,눌림목,25372.5,23527.5,7.271652379544783,0,9473598250.0,4029067550.0,2026-01-22 17:03,1,,0
8,192820,코스맥스,KOSPI,2190455237000,화장품,193000.0,185865.0,17.0,25.0,13.0,11,10.0,76.0,3.6968911917098444,9.243697478991596,38.54565744808212,B,175785.0,168496.0,201335.9896281795,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",155700.0,oneil,Pocket Pivot,193000.0,185865.0,3.6968911917098444,breakout,돌파,201335.9896281795,190633.4896281795,5.315741124954865,pullback,눌림목,175785.0,167223.0,4.870722757914498,5,16967424200.0,-215831500.0,2026-01-22 17:03,1,,0
9,012750,에스원,KOSPI,2982935473000,"부가통신 서비스(경비),안전관리용역,CCTV카메라",78500.0,75385.34839388097,22.0,20.0,11.0,12,10.0,75.0,4.900949823881297,10.084033613445378,20.218293912123027,R,75555.0,75326.0,79270.34839388097,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 3, ""risk_safe"": 10}",72000.0,breakout,돌파,79270.34839388097,75385.34839388097,4.900949823881297,oneil,오닐,78500.0,77180.0,1.6815286624203822,pullback,눌림목,75555.0,72447.0,4.113559658526901,3,630331600.0,600936200.0,2026-01-22 17:03,1,,0
10,263750,펄어비스,KOSDAQ GLOBAL,2759445372250,온라인게임 개발 서비스(검은사막),42950.0,41671.5,25.0,15.0,18.0,7,10.0,75.0,4.879134424433336,34.45378151260504,71.55889054750361,B,38910.0,38126.0,41240.18182058606,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",29000.0,breakout,돌파,43809.0,41671.5,4.879134424433336,oneil,오닐,42950.0,41525.0,3.317811408614668,pullback,눌림목,38910.0,37200.0,4.394757131842714,0,562135400.0,1794288050.0,2026-01-22 17:03,1,,0
11,102710,이엔에프테크놀로지,KOSDAQ,693674437800,LCD/반도체용 케미칼,48550.0,46645.0,22.0,23.0,11.0,8,10.0,74.0,3.9237899073120497,0.0,24.211855862980475,C,47415.0,46221.0,50918.11998146407,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_c"": 3, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",43350.0,oneil,Pocket Pivot,48550.0,46645.0,3.9237899073120497,breakout,돌파,50918.11998146407,47415.61998146407,6.878690731855436,pullback,눌림목,47415.0,44613.0,5.909522303068649,3,2084301650.0,-5662084550.0,2026-01-22 17:03,1,,0
12,278470,에이피알,KOSPI,10705167330000,"화장품, 피부미용기기 등",286000.0,273637.5,21.0,15.0,13.0,15,10.0,74.0,4.3225524475524475,31.092436974789916,32.872520448308705,B,234750.0,239710.0,275083.7238918397,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",76200.0,oneil,Pocket Pivot,286000.0,273637.5,4.3225524475524475,breakout,돌파,291720.0,273176.25,6.356694775812423,pullback,눌림목,234750.0,219915.0,6.319488817891374,5,91127503500.0,49843341500.0,2026-01-22 17:03,1,,0
13,036810,에프에스티,KOSDAQ,851906302400,"펠리클(반도체부품), 칠러장비, 반도체유통",38800.0,36900.0,23.0,13.0,20.0,7,10.0,73.0,4.896907216494846,21.84873949579832,27.15831297178938,C,31994.0,30410.7,37544.373245736875,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",36900.0,oneil,Pocket Pivot,38800.0,36375.25,6.249355670103093,breakout,돌파,39576.0,35938.875,9.190228926622195,pullback,눌림목,31994.0,30394.3,5.000000000000003,0,1174514300.0,1507756900.0,2026-01-22 17:03,1,,0
14,001800,오리온홀딩스,KOSPI,1293627964300,자회사 관리 지주사업 등,20650.0,19650.0,22.0,20.0,10.0,11,10.0,73.0,2.97254592139048,0.0,51.58811192219615,R,20252.0,20285.0,21484.932020089826,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 5, ""vol_today"": 5, ""risk_safe"": 10}",19650.0,pullback,눌림목,20252.0,19650.0,2.97254592139048,breakout,돌파,21484.932020089826,20645.307020089826,3.907971406262284,oneil,오닐,20650.0,20274.0,1.820823244552058,5,2643831100.0,-279566100.0,2026-01-22 17:03,1,,0
15,056190,에스에프에이,KOSDAQ GLOBAL,944400388000,"디스플레이, 2차전지, 반도체 제조설비 및 공장자동화기기",26300.0,25380.0,22.0,10.0,16.0,15,10.0,73.0,3.4980988593155895,65.54621848739495,20.758957293818593,-,24140.0,23479.0,26096.64556230866,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",22800.0,oneil,Pocket Pivot,26300.0,25380.0,3.4980988593155895,breakout,돌파,26826.0,25446.0,5.144263028405279,pullback,눌림목,24140.0,23036.0,4.573322286661143,5,4321056400.0,172019150.0,2026-01-22 17:04,1,,0
16,160190,하이젠알앤엠,KOSDAQ,2140538400000,"전동기 및 발전기 (범용모터, 서보모터)",69300.0,62271.0,23.0,15.0,20.0,15,0.0,73.0,11.904761904761903,43.69747899159664,27.189804763107666,B,59315.0,56996.0,68894.07124273333,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -10}",34950.0,breakout,돌파,70686.0,62271.0,11.904761904761903,oneil,오닐,69300.0,63690.0,8.095238095238095,pullback,눌림목,59315.0,52583.0,11.34957430666779,5,13134224200.0,28601951400.0,2026-01-22 17:04,1,,0
17,055550,신한지주,KOSPI,40247530028600,금융지주회사,82900.0,81460.5,20.0,25.0,11.0,7,10.0,73.0,3.6631661108351663,2.5210084033613445,17.728348991512508,B,78860.0,78418.0,81996.49738692692,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",59800.0,breakout,돌파,84558.0,81460.5,3.6631661108351663,oneil,오닐,82900.0,80835.0,2.490952955367913,pullback,눌림목,78860.0,76382.0,3.142277453715445,0,32337017300.0,40085266700.0,2026-01-22 17:03,1,,0
18,388720,유일로보틱스,KOSDAQ,1111195525000,"취출로봇, 사출장비 및 자동화시스템",95000.0,88878.76553533856,25.0,15.0,20.0,7,5.0,72.0,8.999806593050055,75.63025210084034,44.16051428174675,B,86065.0,84632.0,97668.76553533856,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -5}",65500.0,breakout,돌파,97668.76553533856,88878.76553533856,8.999806593050055,oneil,오닐,95000.0,89360.0,5.936842105263158,pullback,눌림목,86065.0,79033.0,8.170568756172662,0,25030684700.0,15455779600.0,2026-01-22 17:03,1,,0
19,171090,선익시스템,KOSDAQ,555523382400,OLED 증착장비,58100.0,54722.36116808575,24.0,15.0,16.0,9,8.0,72.0,6.77798072443157,48.739495798319325,30.293812604094093,B,51172.5,50857.0,58701.11116808575,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -2}",34300.0,breakout,돌파,58701.11116808575,54722.36116808575,6.77798072443157,oneil,오닐,58100.0,55447.5,4.565404475043029,pullback,눌림목,51172.5,47989.5,6.220137769309688,1,2167561850.0,7184814650.0,2026-01-22 17:03,1,,0
20,023530,롯데쇼핑,KOSPI,2181063010500,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래",77100.0,74995.0,19.0,10.0,18.0,15,10.0,72.0,2.7302204928664073,54.621848739495796,22.238602651833055,-,72375.0,72892.0,78394.02386928283,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",67800.0,oneil,Pocket Pivot,77100.0,74995.0,2.7302204928664073,breakout,돌파,78394.02386928283,75236.52386928283,4.027730487804702,pullback,눌림목,72375.0,69849.0,3.490155440414508,5,3233473300.0,4795613300.0,2026-01-22 17:04,1,,0
21,005940,NH투자증권,KOSPI,8142468831650,"증권업,종합금융",22850.0,22324.5,24.0,20.0,13.0,5,10.0,72.0,4.215471746685545,11.764705882352942,34.286935515328196,R,21652.5,21291.0,22534.77548354169,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 5, ""risk_safe"": 10}",20750.0,breakout,돌파,23307.0,22324.5,4.215471746685545,oneil,오닐,22850.0,22195.0,2.8665207877461705,pullback,눌림목,21652.5,20866.5,3.6300658122618636,2,24586323100.0,-3587826600.0,2026-01-22 17:03,1,,0
22,137400,피엔티,KOSDAQ GLOBAL,1041207495600,2차전지 및 전자소재용 Roll-to-Roll 장비,43950.0,42205.0,21.0,20.0,13.0,7,10.0,71.0,3.9704209328782705,12.605042016806722,33.26688141977823,R,38260.0,39922.0,45755.100836769896,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",39700.0,oneil,Pocket Pivot,43950.0,42205.0,3.9704209328782705,breakout,돌파,45755.100836769896,43137.600836769896,5.720673656338036,pullback,눌림목,38260.0,36347.0,5.0,0,897836550.0,1636076200.0,2026-01-22 17:03,1,,0
23,033100,제룡전기,KOSDAQ,639283878200,"송배전용금구류,변압기",39800.0,38775.0,24.0,20.0,13.0,4,10.0,71.0,2.5753768844221105,12.605042016806722,33.6785335791989,R,37725.0,36465.0,40490.80894624833,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 5, ""risk_safe"": 10}",36150.0,oneil,Inside Day,39800.0,38775.0,2.5753768844221105,breakout,돌파,40490.80894624833,38349.55894624833,5.288237147453674,pullback,눌림목,37725.0,36150.0,4.174950298210735,0,-3346200300.0,1554611650.0,2026-01-22 17:03,1,,0
24,251970,펌텍코리아,KOSDAQ,737800000000,화장품 용기,59500.0,56870.0,18.0,20.0,18.0,4,10.0,70.0,4.420168067226891,10.92436974789916,19.97365543237696,R,53995.0,53864.0,57129.66738675012,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",50600.0,oneil,Pocket Pivot,59500.0,56870.0,4.420168067226891,breakout,돌파,60690.0,56745.0,6.500247157686605,pullback,눌림목,53995.0,50839.0,5.84498564681915,0,-370772900.0,354919100.0,2026-01-22 17:03,1,,0
25,298050,HS효성첨단소재,KOSPI,972148716000,PET타이어코드,217000.0,210122.5,22.0,10.0,13.0,15,10.0,70.0,3.1693548387096775,67.22689075630252,42.165831802996664,-,191990.0,195276.0,212831.53612870726,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",178900.0,oneil,Pocket Pivot,217000.0,210122.5,3.1693548387096775,breakout,돌파,221340.0,211023.75,4.660815939278938,pullback,눌림목,191990.0,183737.0,4.298661388613991,5,9142564500.0,567109500.0,2026-01-22 17:04,1,,0
26,071320,지역난방공사,KOSPI,1270188216800,"집단에너지공급 및 전기,증기 생산,판매",109700.0,106390.0,21.0,20.0,8.0,11,10.0,70.0,3.017319963536919,0.0,39.723333208128906,R,100570.0,104502.0,114469.2476628362,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""risk_safe"": 10}",78400.0,oneil,Inside Day,109700.0,106390.0,3.017319963536919,breakout,돌파,114469.2476628362,109504.2476628362,4.337409480163768,pullback,눌림목,100570.0,96598.0,3.9494879188624843,5,4967253700.0,-941305500.0,2026-01-22 17:03,1,,0
27,082740,한화엔진,KOSPI,4364285526600,"대형선박용엔진,내연발전엔진",52300.0,49749.51022976881,25.0,10.0,12.0,15,7.0,69.0,7.656682134848804,52.94117647058823,52.59027551499112,-,48417.5,45139.0,53874.51022976881,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -3}",31200.0,breakout,돌파,53874.51022976881,49749.51022976881,7.656682134848804,oneil,오닐,52300.0,49162.0,6.0,pullback,눌림목,48417.5,45117.5,6.815717457530851,5,42027917100.0,3686558100.0,2026-01-22 17:04,1,,0
28,001040,CJ,KOSPI,5456098626000,지주회사,187000.0,170582.0,25.0,20.0,5.0,9,10.0,69.0,4.750684013624435,15.966386554621849,44.719948350440106,R,179090.0,178530.0,191132.77893732168,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_today"": 5, ""risk_safe"": 10}",106300.0,pullback,눌림목,179090.0,170582.0,4.750684013624435,breakout,돌파,191132.77893732168,180497.77893732168,5.5641947232334985,oneil,오닐,187000.0,185100.0,1.0160427807486632,2,6219012700.0,9928353600.0,2026-01-22 17:03,1,,0
