rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,092730,네오팜,KOSDAQ,323765377800,생체기능성(아토피)보습제,20200.0,18560.0,24.0,20.0,12.0,8,5.0,69.0,8.118811881188119,8.403361344537815,31.404087328686085,R,19180.5,18999.2,20883.41410731392,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -5}",oneil,오닐,20200.0,20073.0,0.6287128712871287,pullback,눌림목,19180.5,18560.0,3.2350564375276973,breakout,Squeeze돌파,20883.41410731392,19395.41410731392,7.125271722112061,4,1299801960.0,-508885820.0,2026-02-12 19:19,2,,0
2,000070,삼양홀딩스,KOSPI,534883859900,"지주회사,경영자문컨설팅",68900.0,58800.0,25.0,24.0,13.0,7,0.0,69.0,14.658925979680696,0.0,52.79900438262572,A,61000.0,60424.0,67578.21495739304,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -10}",breakout,Squeeze돌파,68900.0,66027.5,4.169085631349782,oneil,오닐,68900.0,66985.0,2.7793904208998548,pullback,눌림목,61000.0,58702.0,3.7672131147540986,0,1187405600.0,228237100.0,2026-02-12 19:19,2,,0
3,001080,만호제강,KOSPI,214970000000,"와이어로프,합성섬유로프,특수강선 제조,수출,임대",51800.0,49050.0,25.0,10.0,15.0,9,9.0,68.0,5.308880308880308,43.69747899159664,63.47588438155652,-,50290.0,45622.0,54146.72273903437,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 3, ""risk_deduction"": -1}",pullback,눌림목,50290.0,46300.0,7.933982899184729,oneil,오닐,51800.0,51000.0,1.5444015444015444,breakout,Squeeze돌파,54146.72273903437,49159.22273903437,9.211083788095104,1,488158500.0,771383600.0,2026-02-12 19:19,2,,0
4,043370,피에이치에이,KOSDAQ,262290000000,"자동차용 도어랫치, 도어힌지",12490.0,11550.0,24.0,10.0,12.0,15,7.0,68.0,7.526020816653323,100.0,36.903198956456826,-,12123.0,11885.4,12752.849112947995,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -3}",pullback,눌림목,12123.0,11516.85,4.9999999999999964,oneil,오닐,12490.0,12145.0,2.762209767814251,breakout,Squeeze돌파,12752.849112947995,11751.599112947995,7.85118675154267,5,654639320.0,66183530.0,2026-02-12 19:20,2,,0
5,010690,화신,KOSPI,398791082200,"자동차엔진부품(ARM류,C/MBR류),자동차부품 제조",11420.0,10506.4,24.0,5.0,20.0,12,7.0,68.0,8.0,100.0,33.56198107609277,B,9469.5,8886.0,10135.821314984098,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,11420.0,10737.0,5.980735551663748,breakout,Squeeze돌파,11420.0,10395.5,8.971103327495623,pullback,눌림목,9469.5,8650.0,8.65410000528011,3,5904392130.0,4999992190.0,2026-02-12 19:19,2,,0
6,079940,가비아,KOSDAQ,452277050800,"도메인,호스팅",33700.0,30950.0,24.0,20.0,11.0,6,5.0,66.0,8.160237388724036,8.403361344537815,32.308653645615756,R,32752.5,32297.0,35420.946312686676,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 3, ""risk_deduction"": -5}",pullback,눌림목,32752.5,31900.0,2.6028547439126783,oneil,오닐,33700.0,32950.0,2.225519287833828,breakout,Squeeze돌파,35420.946312686676,32762.196312686676,7.506151802182989,1,-806485300.0,294376700.0,2026-02-12 19:19,2,,0
7,354320,알멕,KOSDAQ,454427189100,알루미늄 압출 제품,71100.0,65412.0,25.0,10.0,15.0,9,7.0,66.0,8.0,100.0,65.82146608873687,-,57487.5,37280.8,70613.66554093323,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 3, ""risk_deduction"": -3}",breakout,Squeeze돌파,71100.0,60517.5,14.883966244725737,oneil,오닐,71100.0,65800.0,7.454289732770746,pullback,눌림목,57487.5,49021.5,14.726679712981083,1,630072900.0,5705458600.0,2026-02-12 19:19,2,,0
8,160980,싸이맥스,KOSDAQ,231593951600,"웨이퍼 이송장치(Cluster Tool, EFEM, LPM 등)",21200.0,19504.0,25.0,5.0,20.0,9,7.0,66.0,8.0,37.81512605042017,52.874884409890406,B,17098.5,15810.8,18626.984903023313,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,21200.0,19948.25,5.904481132075472,breakout,Squeeze돌파,21200.0,19322.375,8.856721698113207,pullback,눌림목,17098.5,16590.0,2.973945082902009,2,1859930490.0,780660260.0,2026-02-12 19:19,2,,0
9,078520,에이블씨엔씨,KOSPI,312690215220,"화장품 제조,도소매/소프트웨어 자문,개발,공급/전자상거래",12020.0,11058.4,22.0,10.0,18.0,9,7.0,66.0,8.0,27.73109243697479,40.69324267219899,-,10399.5,10404.4,11853.903164394163,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,12020.0,11130.5,7.400166389351082,oneil,오닐,12020.0,11427.0,4.933444259567388,pullback,눌림목,10399.5,9879.525,5.0000000000000036,1,1474619490.0,432725700.0,2026-02-12 19:19,2,,0
10,108380,대양전기공업,KOSDAQ,294673856400,"해상용 조명등기구, (함정용)전자시스템, 배전반류 등",30800.0,26350.0,17.0,20.0,20.0,8,0.0,65.0,14.44805194805195,0.0,14.968412821033303,R,27912.5,27985.0,30493.738573669616,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -10}",breakout,Squeeze돌파,30800.0,28632.5,7.037337662337663,pullback,눌림목,27912.5,27750.0,0.5821764442454098,oneil,오닐,30800.0,29355.0,4.691558441558442,4,700674800.0,-302094550.0,2026-02-12 19:19,2,,0
